row_id,doc_id,sent_id,text_raw,text_norm,quarter_end,cik,prev_text_raw,prev_text_norm,text_len_chars,short_sentence,heuristic_needs_context,proxy_label_main,proxy_flag_mixed_ab,proxy_c_subtype,legacy_hint_impact,legacy_hint_remediation,legacy_hint_attestation,legacy_hint_find_opinion,legacy_hint_find_remedia_header,legacy_hint_remedia_start_seq,legacy_ab,legacy_negative,split,pred_label,prob_A,prob_B,prob_C,prob_max,margin_top2,review_flag,auto_accept,model_version,selection_reason,priority_rank
16,0000935419_2024_4,12,"additionally, we rely upon a variety of outsourced it service providers for key elements of the technology infrastructure impacting our financial reporting process.",additionally we rely upon a variety of outsourced it service providers for key elements of the technology infrastructure impacting our financial reporting process,2024-09-30,935419,our business process controls (automated and manual) that are dependent on the affected itgcs were also deemed ineffective because they could have been adversely impacted.,our business process controls automated and manual that are dependent on the affected itgcs were also deemed ineffective because they could have been adversely impacted,162,0,0,C,0,background,0,0,0,False,False,21.0,0,1,trainval,B,0.0046254831042944,0.5078818001346819,0.4874927167610236,0.5078818001346819,0.0203890833736582,1,0,e5_logreg,margin,1
37,0001002388_2006_4,20,"as a result, we historically capitalized software development costs prior to the achievement of technological feasibility.",as a result we historically capitalized software development costs prior to the achievement of technological feasibility,2006-03-31,1002388,"as a result of an internal review of our historical accounting for software development costs, we determined that we did not have contemporaneous evidence of the achievement of technological feasibility of our software development projects as required for capitalization under sfas no.",as a result of an internal review of our historical accounting for software development costs we determined that we did not have contemporaneous evidence of the achievement of technological feasibility of our software development projects as required for capitalization under sfas no,120,1,1,C,0,effect,0,0,0,False,False,,0,1,trainval,B,0.0053629638373662,0.5349306994990074,0.4597063366636262,0.5349306994990074,0.0752243628353811,1,0,e5_logreg,disagreement,2
42,0001002388_2006_4,25,"because of the material weaknesses described above, which resulted in material misstatements of our previously issued consolidated financial statements, our management concluded that we did not maintain effective internal control over financial reporting as of march 31, 2006 based on the criteria in internal control—integrated framework.",because of the material weaknesses described above which resulted in material misstatements of our previously issued consolidated financial statements our management concluded that we did not maintain effective internal control over financial reporting as of <month> <num> <year> based on the criteria in internal control integrated framework,2006-03-31,1002388,"our failure to properly apply sfas no. 86 resulted from a lack of a sufficient number of employees with appropriate levels of knowledge, expertise and training in the application of generally accepted accounting principles relevant to software development costs.",our failure to properly apply sfas no <num> resulted from a lack of a sufficient number of employees with appropriate levels of knowledge expertise and training in the application of generally accepted accounting principles relevant to software development costs,342,0,0,A,0,other,1,0,0,True,False,,0,0,trainval,C,0.3753516470537612,0.0831520991023291,0.5414962538439098,0.5414962538439098,0.1661446067901485,1,0,e5_logreg,diversity,3
59,0000910638_2007_4,22,"as of december 31, 2007, the following material weaknesses in our internal control over financial reporting had not been fully remedied and continued to exist.",as of <month> <num> <year> the following material weaknesses in our internal control over financial reporting had not been fully remedied and continued to exist,2007-12-31,910638,"a “significant deficiency” is a deficiency, or combination of deficiencies, in internal control over financial reporting that is less severe than a material weakness, yet important enough to merit attention by those responsible for oversight of financial reporting.",a significant deficiency is a deficiency or combination of deficiencies in internal control over financial reporting that is less severe than a material weakness yet important enough to merit attention by those responsible for oversight of financial reporting,160,0,0,B,0,other,0,1,0,False,True,6.0,0,0,test,C,0.0360988160572551,0.3963601154681844,0.5675410684745604,0.5675410684745604,0.171180953006376,1,0,e5_logreg,random,4
69,0000754673_2011_4,2,"suffolk’s management is responsible for establishing and maintaining adequate internal control over financial reporting, as such term is defined in rule 13a-15. under the exchange act.",suffolk s management is responsible for establishing and maintaining adequate internal control over financial reporting as such term is defined in rule 13a <num> under the exchange act,2011-12-31,754673,,,184,0,0,C,0,background,0,0,0,False,False,,0,1,trainval,B,0.0022855848636706,0.5050021776973473,0.492712237438982,0.5050021776973473,0.0122899402583653,1,0,e5_logreg,margin,5
73,0001384135_2011_4,10,"we lack sufficient personnel with the appropriate level of knowledge, experience and training in u.s.",we lack sufficient personnel with the appropriate level of knowledge experience and training in u s,2011-12-31,1384135,gaap expertise.,gaap expertise,99,1,0,C,0,background,0,0,0,False,False,19.0,0,1,trainval,B,0.0009644550910591,0.5096032946424452,0.4894322502664955,0.5096032946424452,0.0201710443759496,1,0,e5_logreg,margin,6
74,0001384135_2011_4,13,"gaap holds a license such as certified public accountant in the u.s., nor have any attended u.s. institutions or extended educational programs that would provide enough of the relevant education relating to u.s.",gaap holds a license such as certified public accountant in the u s nor have any attended u s institutions or extended educational programs that would provide enough of the relevant education relating to u s,2011-12-31,1384135,"we lack sufficient personnel with the appropriate level of knowledge, experience and training in u.s.",we lack sufficient personnel with the appropriate level of knowledge experience and training in u s,207,0,0,C,0,background,0,0,0,False,False,19.0,0,1,trainval,C,0.0107688959769065,0.3192994053223106,0.6699316987007827,0.6699316987007827,0.350632293378472,1,0,e5_logreg,random,7
98,0000849146_2016_4,11,the inadequate controls and processes related to the lack of documented country-specific policies and procedures governing . distributor enrollment policies and procedures; (ii) approved distributor payment and collection methods; (iii) methods for shipping and order fulfillment; (iv) approval requirements for transactions with distributors outside of our approved compensation plans; and . lack of change controls related to changes to existing country-specific policies and procedures.,the inadequate controls and processes related to the lack of documented country specific policies and procedures governing distributor enrollment policies and procedures ii approved distributor payment and collection methods iii methods for shipping and order fulfillment iv approval requirements for transactions with distributors outside of our approved compensation plans and lack of change controls related to changes to existing country specific policies and procedures,2016-06-30,849146,"based on its independent review, the audit committee determined that . we had sold our products to independent distributors who carried or shipped such products primarily into four countries outside the u.s. in which those products are not registered or that otherwise impose stringent restrictions on our direct selling model; (ii) we allowed individuals who were resident in countries that impose stringent restrictions on our direct selling model to enroll as independent distributors; and (iii) we did not have in place sufficient controls governing our international business policies, practices, monitoring and training to provide reasonable assurance that such distribution of our products complied with applicable customs, tax and other regulatory requirements.",based on its independent review the audit committee determined that we had sold our products to independent distributors who carried or shipped such products primarily into four countries outside the u s in which those products are not registered or that otherwise impose stringent restrictions on our direct selling model ii we allowed individuals who were resident in countries that impose stringent restrictions on our direct selling model to enroll as independent distributors and iii we did not have in place sufficient controls governing our international business policies practices monitoring and training to provide reasonable assurance that such distribution of our products complied with applicable customs tax and other regulatory requirements,474,0,0,C,0,background,0,0,0,False,False,19.0,0,1,trainval,C,0.0102730621078942,0.4815365242450608,0.508190413647045,0.508190413647045,0.0266538894019841,1,0,e5_logreg,margin,8
100,0000849146_2016_4,13,"accordingly, we identified a material weakness in our internal controls over financial reporting as of the period ended june 30, 2016.",accordingly we identified a material weakness in our internal controls over financial reporting as of the period ended <month> <num> <year>,2016-06-30,849146,"in addition, we had inadequate controls in place related to the training, monitoring and oversight of our personnel who were involved in or managed our international business operations.",in addition we had inadequate controls in place related to the training monitoring and oversight of our personnel who were involved in or managed our international business operations,139,1,1,C,0,status,0,0,0,False,False,19.0,0,1,trainval,C,0.0558781657109814,0.2705584740457142,0.6735633602433043,0.6735633602433043,0.4030048861975901,1,0,e5_logreg,diversity,9
119,0001376339_2020_4,12,management has reported to the audit committee the status of these remediation actions.,management has reported to the audit committee the status of these remediation actions,2020-12-31,1376339,"as a result, material weaknesses corresponding to the control activities component of internal control as defined by coso continue to be present as of december 31, 2020.",as a result material weaknesses corresponding to the control activities component of internal control as defined by coso continue to be present as of <month> <num> <year>,86,1,0,B,0,other,0,1,0,False,True,10.0,0,0,trainval,B,0.0014811280726873,0.7965354969938311,0.2019833749334814,0.7965354969938311,0.5945521220603497,0,1,e5_logreg,diversity,10
