row_id,doc_id,sent_id,text_raw,text_norm,quarter_end,cik,prev_text_raw,prev_text_norm,text_len_chars,short_sentence,heuristic_needs_context,proxy_label_main,proxy_flag_mixed_ab,proxy_c_subtype,legacy_hint_impact,legacy_hint_remediation,legacy_hint_attestation,legacy_hint_find_opinion,legacy_hint_find_remedia_header,legacy_hint_remedia_start_seq,legacy_ab,legacy_negative,split,pred_label,prob_ISSUE,prob_REMEDIATION,prob_OTHER,prob_max,margin_top2,review_flag,auto_accept,model_version,label_main,flag_mixed_ab,flag_needs_context,c_subtype,annotator,label_version,note
49,0000910638_2007_4,10,"due, among other things, to the difficulties that we experienced in preparing timely financial statements for the period ended september 30, .",due among other things to the difficulties that we experienced in preparing timely financial statements for the period ended <month> <num>,2007-12-31,910638,these remedial actions are described in our prior periodic filings with the sec.,these remedial actions are described in our prior periodic filings with the sec,138,1,0,REMEDIATION,0,other,0,1,0,False,False,6.0,0,0,test,ISSUE,0.9160272632057896,0.0039325894006679,0.0800401473935424,0.9160272632057896,0.8359871158122472,0,1,e5_logreg,OTHER,0,1,effect,worker_batch_013,guideline_v1_1_issue_reaudit_round3,Incomplete effect fragment about delays in preparing financial statements; not a direct issue.
50,0000910638_2007_4,11,"58 . 2006 and for subsequent periods ended prior to june 30, 2007, it is not practicable to determine the financial periods within those time periods during which each of those changes became effective.",<num> <year> and for subsequent periods ended prior to <month> <num> <year> it is not practicable to determine the financial periods within those time periods during which each of those changes became effective,2007-12-31,910638,"due, among other things, to the difficulties that we experienced in preparing timely financial statements for the period ended september 30, .",due among other things to the difficulties that we experienced in preparing timely financial statements for the period ended <month> <num>,210,0,0,REMEDIATION,0,other,0,1,0,False,False,6.0,0,0,test,ISSUE,0.697447383497252,0.0056433239225095,0.2969092925802385,0.697447383497252,0.4005380909170134,0,1,e5_logreg,OTHER,0,1,status,worker_batch_013,guideline_v1_1_issue_reaudit_round3,Status-only statement about timing of prior changes; no explicit weakness or remediation.
51,0000910638_2007_4,12,"with respect to our previously reported failure to adequately control access to the databases in our new erp system, during the fourth quarter of 2007, we.",with respect to our previously reported failure to adequately control access to the databases in our new erp system during the fourth quarter of <year> we,2007-12-31,910638,"58 . 2006 and for subsequent periods ended prior to june 30, 2007, it is not practicable to determine the financial periods within those time periods during which each of those changes became effective.",<num> <year> and for subsequent periods ended prior to <month> <num> <year> it is not practicable to determine the financial periods within those time periods during which each of those changes became effective,154,0,0,REMEDIATION,0,other,0,1,0,False,False,6.0,0,0,test,ISSUE,0.9305237981310196,0.0404999126821673,0.0289762891868131,0.9305237981310196,0.8900238854488521,0,1,e5_logreg,OTHER,0,1,status,worker_batch_013,guideline_v1_1_issue_reaudit_round3,Incomplete lead-in to the next remediation sentence; needs surrounding context.
58,0000910638_2007_4,21,"a “significant deficiency” is a deficiency, or combination of deficiencies, in internal control over financial reporting that is less severe than a material weakness, yet important enough to merit attention by those responsible for oversight of financial reporting.",a significant deficiency is a deficiency or combination of deficiencies in internal control over financial reporting that is less severe than a material weakness yet important enough to merit attention by those responsible for oversight of financial reporting,2007-12-31,910638,"these actions may also be regarded as material changes in our internal control over financial reporting that have occurred since december 31, 2006.",these actions <month> also be regarded as material changes in our internal control over financial reporting that have occurred since <month> <num> <year>,259,0,0,REMEDIATION,0,other,0,1,0,False,False,6.0,0,0,test,ISSUE,0.8154664497090786,0.0367886182601414,0.14774493203078,0.8154664497090786,0.6677215176782985,0,1,e5_logreg,OTHER,0,0,background,worker_batch_013,guideline_v1_1_issue_reaudit_round3,Generic definition of significant deficiency; not company-specific.
59,0000910638_2007_4,22,"as of december 31, 2007, the following material weaknesses in our internal control over financial reporting had not been fully remedied and continued to exist.",as of <month> <num> <year> the following material weaknesses in our internal control over financial reporting had not been fully remedied and continued to exist,2007-12-31,910638,"a “significant deficiency” is a deficiency, or combination of deficiencies, in internal control over financial reporting that is less severe than a material weakness, yet important enough to merit attention by those responsible for oversight of financial reporting.",a significant deficiency is a deficiency or combination of deficiencies in internal control over financial reporting that is less severe than a material weakness yet important enough to merit attention by those responsible for oversight of financial reporting,160,0,0,REMEDIATION,0,other,0,1,0,False,True,6.0,0,0,test,ISSUE,0.5751413245470776,0.0009549509906632,0.4239037244622592,0.5751413245470776,0.1512376000848183,1,0,e5_logreg,OTHER,0,1,status,worker_batch_013,guideline_v1_1_issue_reaudit_round3,Status-only intro that the listed weaknesses were still unresolved.
60,0000910638_2007_4,23,there was a lack of oversight and review of our inventory costing system.,there was a lack of oversight and review of our inventory costing system,2007-12-31,910638,"as of december 31, 2007, the following material weaknesses in our internal control over financial reporting had not been fully remedied and continued to exist.",as of <month> <num> <year> the following material weaknesses in our internal control over financial reporting had not been fully remedied and continued to exist,72,1,1,REMEDIATION,0,other,0,1,0,False,False,6.0,0,0,test,ISSUE,0.9438881138096122,0.0261880499723694,0.0299238362180183,0.9438881138096122,0.913964277591594,0,1,e5_logreg,ISSUE,0,0,other,worker_batch_013,guideline_v1_1_issue_reaudit_round3,
61,0000910638_2007_4,24,"with respect to accounting for inventory, we determined that this material weakness resulted from the lack of a system based methodology and lack of oversight and review of the inventory cost variance and reserve calculations.",with respect to accounting for inventory we determined that this material weakness resulted from the lack of a system based methodology and lack of oversight and review of the inventory cost variance and reserve calculations,2007-12-31,910638,there was a lack of oversight and review of our inventory costing system.,there was a lack of oversight and review of our inventory costing system,224,0,0,REMEDIATION,0,other,0,1,0,False,False,6.0,0,0,test,ISSUE,0.9747978186070432,0.0064566893961389,0.0187454919968176,0.9747978186070432,0.9560523266102255,0,1,e5_logreg,ISSUE,0,0,other,worker_batch_013,guideline_v1_1_issue_reaudit_round3,
63,0000910638_2007_4,26,ineffective design and operation of controls for certain inventory shipments and recognition of the related revenue.,ineffective design and operation of controls for certain inventory shipments and recognition of the related revenue,2007-12-31,910638,"in order to fully remediate this material weakness, we plan to implement further controls and to conduct such testing as is necessary to conclude that remediation has occurred during 2008.",in order to fully remediate this material weakness we plan to implement further controls and to conduct such testing as is necessary to conclude that remediation has occurred during <year>,115,1,0,REMEDIATION,0,other,0,1,0,False,False,6.0,0,0,test,ISSUE,0.9569684212697804,0.0213617023002131,0.0216698764300064,0.9569684212697804,0.935298544839774,0,1,e5_logreg,ISSUE,0,0,other,worker_batch_013,guideline_v1_1_issue_reaudit_round3,
64,0000910638_2007_4,27,"at december 31, 2007, we determined that a material weakness existed in connection with the third-party service provider that we utilize for outsourcing logistics and warehousing of our spare-parts inventory and certain of our finished goods supply activities.",at <month> <num> <year> we determined that a material weakness existed in connection with the third party service provider that we utilize for outsourcing logistics and warehousing of our spare parts inventory and certain of our finished goods supply activities,2007-12-31,910638,ineffective design and operation of controls for certain inventory shipments and recognition of the related revenue.,ineffective design and operation of controls for certain inventory shipments and recognition of the related revenue,261,0,0,REMEDIATION,0,other,0,1,0,True,False,6.0,0,0,test,ISSUE,0.6806919774479954,0.0166206507189757,0.3026873718330288,0.6806919774479954,0.3780046056149665,0,1,e5_logreg,ISSUE,0,0,other,worker_batch_013,guideline_v1_1_issue_reaudit_round3,
65,0000910638_2007_4,28,certain processes adopted by this service provider affected the accurate accounting for inventory and our timing of the recognition of the related revenue.,certain processes adopted by this service provider affected the accurate accounting for inventory and our timing of the recognition of the related revenue,2007-12-31,910638,"at december 31, 2007, we determined that a material weakness existed in connection with the third-party service provider that we utilize for outsourcing logistics and warehousing of our spare-parts inventory and certain of our finished goods supply activities.",at <month> <num> <year> we determined that a material weakness existed in connection with the third party service provider that we utilize for outsourcing logistics and warehousing of our spare parts inventory and certain of our finished goods supply activities,154,0,0,OTHER,1,background,1,1,0,False,False,6.0,1,0,test,ISSUE,0.6125241376397152,0.3470132247479527,0.040462637612332,0.6125241376397152,0.2655109128917625,0,1,e5_logreg,OTHER,0,0,effect,worker_batch_013,guideline_v1_1_issue_reaudit_round3,Effect/background statement describing how the provider's processes affected accounting and revenue timing.
66,0000910638_2007_4,29,we reviewed the effect of this material weakness on each accounting period that was affected and concluded that it did not result in a material misstatement of our financial statements in any accounting period.,we reviewed the effect of this material weakness on each accounting period that was affected and concluded that it did not result in a material misstatement of our financial statements in any accounting period,2007-12-31,910638,certain processes adopted by this service provider affected the accurate accounting for inventory and our timing of the recognition of the related revenue.,certain processes adopted by this service provider affected the accurate accounting for inventory and our timing of the recognition of the related revenue,209,0,0,OTHER,1,effect,1,1,0,False,False,6.0,1,0,test,ISSUE,0.5322809847346711,0.0065919966419428,0.4611270186233859,0.5322809847346711,0.0711539661112851,1,0,e5_logreg,OTHER,0,0,effect,worker_batch_013,guideline_v1_1_issue_reaudit_round3,Effect-only conclusion that the weakness did not result in a material misstatement.
