row_id,doc_id,sent_id,quarter_end,cik,text_raw,text_norm,split,label_main,flag_mixed_ab,flag_needs_context,c_subtype,annotator,label_version,note
7,0001478454_2019_4,19,2019-12-31,1478454,"50 table of contents remediation management has implemented and continues to implement measures designed to ensure that control deficiencies contributing to the material weakness are remediated so that these controls are designed, implemented and operating effectively.",<num> table of contents remediation management has implemented and continues to implement measures designed to ensure that control deficiencies contributing to the material weakness are remediated so that these controls are designed implemented and operating effectively,trainval,REMEDIATION,0,0,other,codex_other_worker_batch_019,guideline_v1_1_other_reaudit_round3,Concrete measures are being implemented.
8,0001478454_2019_4,20,2019-12-31,1478454,"the remediation actions include. restricting user access of individuals able to make manual journal entries, (ii) ensuring the completeness of manual journal entries included in the review through a review of a system generated file maintenance report over manual journal entries, (iii) ensuring accurate and appropriate documentation is retained to support the journal entry.",the remediation actions include restricting user access of individuals able to make manual journal entries ii ensuring the completeness of manual journal entries included in the review through a review of a system generated file maintenance report over manual journal entries iii ensuring accurate and appropriate documentation is retained to support the journal entry,trainval,REMEDIATION,0,0,other,codex_remediation_worker_batch_020,guideline_v1_1_remediation_reaudit_round3,
21,0000935419_2024_4,22,2024-09-30,935419,"review of accounting for business combinations controls will be added to both increase precision of management’s review of each component of business combinations, and if necessary, retain the services of a third-party consultant to assist in the valuation and accounting for intangible assets acquired in a business combination.",review of accounting for business combinations controls will be added to both increase precision of management s review of each component of business combinations and if necessary retain the services of a third party consultant to assist in the valuation and accounting for intangible assets acquired in a business combination,trainval,REMEDIATION,0,0,other,codex_remediation_worker_batch_011,guideline_v1_1_remediation_reaudit_round3,
22,0000935419_2024_4,23,2024-09-30,935419,"review of accounting for impairment of goodwill and intangible assets as most of the assumptions used in the valuation models employed in impairment analyses are subjective in nature, management will employ additional controls to validate these assumptions, including the engagement of a third-party consultant to assist developing valuation models and establishing sound and reasonable assumptions.",review of accounting for impairment of goodwill and intangible assets as most of the assumptions used in the valuation models employed in impairment analyses are subjective in nature management will employ additional controls to validate these assumptions including the engagement of a third party consultant to assist developing valuation models and establishing sound and reasonable assumptions,trainval,REMEDIATION,0,0,other,codex_remediation_worker_batch_011,guideline_v1_1_remediation_reaudit_round3,
23,0000935419_2024_4,25,2024-09-30,935419,the remediation actions include. strengthening and enhancing the review and documentation procedures in our controls over user access review; (ii) defining and communicating clear and concise program change management policy and procedures; (iii) enhancing the reporting requirements of accounting system audit logs; (vi) continuous improvement over our itgc controls related to third party applications; and (vi) enhanced quarterly reporting on the remediation measures to the audit committee of the board of directors.,the remediation actions include strengthening and enhancing the review and documentation procedures in our controls over user access review ii defining and communicating clear and concise program change management policy and procedures iii enhancing the reporting requirements of accounting system audit logs vi continuous improvement over our itgc controls related to third party applications and vi enhanced quarterly reporting on the remediation measures to the audit committee of the board of directors,trainval,REMEDIATION,0,0,other,codex_remediation_worker_batch_011,guideline_v1_1_remediation_reaudit_round3,
52,0000910638_2007_4,13,2007-12-31,910638,conducted a review of employee access to our erp system world-wide; .,conducted a review of employee access to our erp system world wide,test,REMEDIATION,0,0,other,codex_remediation_worker_batch_008,guideline_v1_1_remediation_reaudit_round3,
53,0000910638_2007_4,14,2007-12-31,910638,used built-in erp security features to implemented targeted access to the various data applications in our erp system; .,used built in erp security features to implemented targeted access to the various data applications in our erp system,test,REMEDIATION,0,0,other,codex_remediation_worker_batch_008,guideline_v1_1_remediation_reaudit_round3,
54,0000910638_2007_4,15,2007-12-31,910638,implemented formal request and approval process for any erp access changes; .,implemented formal request and approval process for any erp access changes,test,REMEDIATION,0,0,other,codex_remediation_worker_batch_008,guideline_v1_1_remediation_reaudit_round3,
55,0000910638_2007_4,16,2007-12-31,910638,moved control of all erp access changes to our corporate offices; and .,moved control of all erp access changes to our corporate offices and,test,REMEDIATION,0,0,other,codex_remediation_worker_batch_008,guideline_v1_1_remediation_reaudit_round3,
56,0000910638_2007_4,17,2007-12-31,910638,implemented a formal periodic access review program for erp users.,implemented a formal periodic access review program for erp users,test,REMEDIATION,0,0,other,codex_remediation_worker_batch_008,guideline_v1_1_remediation_reaudit_round3,
62,0000910638_2007_4,25,2007-12-31,910638,"in order to fully remediate this material weakness, we plan to implement further controls and to conduct such testing as is necessary to conclude that remediation has occurred during 2008.",in order to fully remediate this material weakness we plan to implement further controls and to conduct such testing as is necessary to conclude that remediation has occurred during <year>,test,REMEDIATION,0,0,other,codex_other_worker_batch_010,guideline_v1_1_other_reaudit_round3,Concrete planned remediation actions are stated
75,0001384135_2011_4,18,2011-12-31,1384135,we expect to continue to rely on this outside consulting arrangement to supplement our current internal accounting staff for the foreseeable future.,we expect to continue to rely on this outside consulting arrangement to supplement our current internal accounting staff for the foreseeable future,trainval,REMEDIATION,0,0,other,codex_remediation_worker_batch_020,guideline_v1_1_remediation_reaudit_round3,
86,0000215419_2013_4,21,2013-12-29,215419,management has been actively engaged in developing remediation plans to address the above material weakness.,management has been actively engaged in developing remediation plans to address the above material weakness,trainval,REMEDIATION,0,0,other,codex_other_worker_batch_003,guideline_v1_1_other_reaudit_round3,Concrete remediation plan development
88,0000215419_2013_4,23,2013-12-29,215419,instituting additional training programs for accounting personnel; and.,instituting additional training programs for accounting personnel and,trainval,REMEDIATION,0,0,other,codex_remediation_worker_batch_002,guideline_v1_1_remediation_reaudit_round3,
89,0000215419_2013_4,24,2013-12-29,215419,"re-designing controls to identify, research, evaluate and review the appropriate accounting related to non-routine complex transactions and technical accounting matters.",re designing controls to identify research evaluate and review the appropriate accounting related to non routine complex transactions and technical accounting matters,trainval,REMEDIATION,0,0,other,codex_remediation_worker_batch_002,guideline_v1_1_remediation_reaudit_round3,
96,0000849146_2016_4,9,2016-06-30,849146,the audit committee retained independent counsel to assist it in conducting the review.,the audit committee retained independent counsel to assist it in conducting the review,trainval,REMEDIATION,0,0,other,codex_remediation_worker_batch_007,guideline_v1_1_remediation_reaudit_round3,
102,0000849146_2016_4,15,2016-06-30,849146,"in making this determination, we obtained international tax and legal advice from external accounting and law firms that have relevant country-specific expertise regarding our potential obligations and liabilities associated with the import and distribution of our products into the countries described above.",in making this determination we obtained international tax and legal advice from external accounting and law firms that have relevant country specific expertise regarding our potential obligations and liabilities associated with the import and distribution of our products into the countries described above,trainval,REMEDIATION,0,0,other,codex_remediation_worker_batch_007,guideline_v1_1_remediation_reaudit_round3,
105,0000849146_2016_4,19,2016-06-30,849146,"remediation efforts to address material weakness to remediate the material weakness in our internal controls over financial reporting described above, we are developing and implementing new control policies and procedures regarding the international business policies, practices, monitoring and training for each country outside the u.s. in which we do business.",remediation efforts to address material weakness to remediate the material weakness in our internal controls over financial reporting described above we are developing and implementing new control policies and procedures regarding the international business policies practices monitoring and training for each country outside the u s in which we do business,trainval,REMEDIATION,0,0,other,codex_remediation_worker_batch_007,guideline_v1_1_remediation_reaudit_round3,
106,0000849146_2016_4,20,2016-06-30,849146,"as an initial step, we implemented changes to our systems and distributor enrollment requirements intended to stop or restrict the processes used by independent distributors to purchase and carry or ship our products into countries in which those products are not registered or that otherwise impose stringent restrictions on our direct selling model.",as an initial step we implemented changes to our systems and distributor enrollment requirements intended to stop or restrict the processes used by independent distributors to purchase and carry or ship our products into countries in which those products are not registered or that otherwise impose stringent restrictions on our direct selling model,trainval,REMEDIATION,0,0,other,codex_remediation_worker_batch_007,guideline_v1_1_remediation_reaudit_round3,
107,0000849146_2016_4,21,2016-06-30,849146,"looking forward, we are in the process of developing appropriate country-specific policies and procedures to help ensure that our products are not distributed or sold into countries without complying with applicable customs, tax and other regulatory requirements.",looking forward we are in the process of developing appropriate country specific policies and procedures to help ensure that our products are not distributed or sold into countries without complying with applicable customs tax and other regulatory requirements,trainval,REMEDIATION,0,0,other,codex_remediation_worker_batch_007,guideline_v1_1_remediation_reaudit_round3,
108,0000849146_2016_4,22,2016-06-30,849146,"additional steps we have taken and are taking to remediate the material weakness in our internal controls over financial reporting include creating market-specific policy manuals documenting the following. distributor enrollment requirements by country, including the requirement of sufficient and appropriate oversight and senior management approvals for any changes to such country-specific policies; . approved distributor payment and collection policies by country, including the requirement of sufficient and appropriate oversight and senior management approvals for any changes to such country-specific policies; . approved shipping, order fulfillment and customs import policies by country, including the requirement of sufficient and appropriate oversight and senior management approvals for any changes to such country-specific policies; and . approval requirements for transactions between us and independent distributors outside of our approved compensation plans.",additional steps we have taken and are taking to remediate the material weakness in our internal controls over financial reporting include creating market specific policy manuals documenting the following distributor enrollment requirements by country including the requirement of sufficient and appropriate oversight and senior management approvals for any changes to such country specific policies approved distributor payment and collection policies by country including the requirement of sufficient and appropriate oversight and senior management approvals for any changes to such country specific policies approved shipping order fulfillment and customs import policies by country including the requirement of sufficient and appropriate oversight and senior management approvals for any changes to such country specific policies and approval requirements for transactions between us and independent distributors outside of our approved compensation plans,trainval,REMEDIATION,0,0,other,codex_remediation_worker_batch_007,guideline_v1_1_remediation_reaudit_round3,
109,0000849146_2016_4,23,2016-06-30,849146,"in addition, as we implement country-specific policies, we are requiring that we obtain international tax and legal advice from external accounting and law firms that have relevant country-specific expertise to help ensure that potential international tax and legal issues are appropriately identified and addressed.",in addition as we implement country specific policies we are requiring that we obtain international tax and legal advice from external accounting and law firms that have relevant country specific expertise to help ensure that potential international tax and legal issues are appropriately identified and addressed,trainval,REMEDIATION,0,0,other,codex_remediation_worker_batch_007,guideline_v1_1_remediation_reaudit_round3,
110,0000849146_2016_4,24,2016-06-30,849146,we have also started the process of evaluating and re-allocating personnel resources to ensure that each market has adequate resources to support our remediation efforts and our new processes and controls.,we have also started the process of evaluating and re allocating personnel resources to ensure that each market has adequate resources to support our remediation efforts and our new processes and controls,trainval,REMEDIATION,0,0,other,codex_remediation_worker_batch_007,guideline_v1_1_remediation_reaudit_round3,
111,0000849146_2016_4,25,2016-06-30,849146,we also will establish and conduct company-wide training programs on our new policies and controls.,we also will establish and conduct company wide training programs on our new policies and controls,trainval,REMEDIATION,0,0,other,codex_remediation_worker_batch_007,guideline_v1_1_remediation_reaudit_round3,
131,0001376339_2020_4,28,2020-12-31,1376339,we will implement and then test the design and ongoing operating effectiveness of the new and existing controls in future periods.,we will implement and then test the design and ongoing operating effectiveness of the new and existing controls in future periods,trainval,REMEDIATION,0,0,other,codex_remediation_worker_batch_019,guideline_v1_1_remediation_reaudit_round3,
137,0001376339_2020_4,34,2020-12-31,1376339,"80 the board created an ethics and compliance committee consisting solely of independent directors which is responsible for reviewing the status of the company's ethics and compliance program, reviewing and advising the board regarding any open cases and trends that may impact the business, and recommending future initiatives to improve compliance performance and effectiveness.",<num> the board created an ethics and compliance committee consisting solely of independent directors which is responsible for reviewing the status of the company s ethics and compliance program reviewing and advising the board regarding any open cases and trends that <month> impact the business and recommending future initiatives to improve compliance performance and effectiveness,trainval,REMEDIATION,0,0,other,codex_remediation_worker_batch_019,guideline_v1_1_remediation_reaudit_round3,
