row_id,label_main,flag_mixed_ab,flag_needs_context,c_subtype,annotator,label_version,note
5,ISSUE,0,0,,codex_pass1,guideline_v1_round1,
23,REMEDIATION,0,0,,codex_pass1,guideline_v1_round1,
26,ISSUE,0,0,,codex_pass1,guideline_v1_round1,
29,OTHER,0,1,other,codex_pass1,guideline_v1_round1,fragmentary issue header
34,ISSUE,0,0,other,codex_round2_final,guideline_v1_1_round2_final,
37,ISSUE,0,0,other,codex_round2_final,guideline_v1_1_round2_final,
40,ISSUE,0,0,other,codex_round2_final,guideline_v1_1_round2_final,
47,OTHER,0,0,status,codex_round2_final,guideline_v1_1_round2_final,reports that remedial actions may be material changes
66,ISSUE,0,0,,codex_pass1,guideline_v1_round1,
67,OTHER,0,0,status,codex_pass1,guideline_v1_round1,remediation status statement
71,OTHER,0,0,background,codex_pass1,guideline_v1_round1,"generic definition, not company-specific issue"
87,OTHER,0,1,other,codex_round2_final,guideline_v1_1_round2_final,lead-in header for remediation list
92,OTHER,1,0,other,codex_pass1,guideline_v1_round1,mixed problem and remediation in one sentence
96,REMEDIATION,0,0,other,codex_round2_final,guideline_v1_1_round2_final,
117,OTHER,0,0,status,codex_pass1,guideline_v1_round1,"status/update sentence, not direct issue or action"
120,ISSUE,0,0,other,codex_round2_final,guideline_v1_1_round2_final,
123,ISSUE,0,0,,codex_pass1,guideline_v1_round1,
130,OTHER,0,0,status,codex_pass1,guideline_v1_round1,remediation section intro/status sentence
133,OTHER,0,1,other,codex_round2_final,guideline_v1_1_round2_final,summary lead-in ending with as follows
141,REMEDIATION,0,0,,codex_pass1,guideline_v1_round1,
150,REMEDIATION,0,0,other,codex_round2_final,guideline_v1_1_round2_final,OCR-merged improvement list; action list dominates
165,OTHER,0,0,status,codex_pass1,guideline_v1_round1,"status/update sentence, not direct issue or action"
167,ISSUE,0,0,,codex_pass1,guideline_v1_round1,
171,ISSUE,0,0,other,codex_round2_final,guideline_v1_1_round2_final,
181,ISSUE,0,0,,codex_pass1,guideline_v1_round1,
182,OTHER,0,0,effect,codex_round2_final,guideline_v1_1_round2_final,adjustment timing/effect statement
193,ISSUE,0,0,,codex_pass1,guideline_v1_round1,
201,OTHER,0,0,background,codex_pass1,guideline_v1_round1,"generic definition, not company-specific issue"
208,OTHER,0,0,attestation,codex_pass1,guideline_v1_round1,auditor attestation mention
218,ISSUE,0,0,,codex_pass1,guideline_v1_round1,
219,ISSUE,0,0,,codex_pass1,guideline_v1_round1,
221,ISSUE,0,0,,codex_pass1,guideline_v1_round1,
226,ISSUE,0,1,,codex_pass1,guideline_v1_round1,split sentence continuation of control deficiency
227,ISSUE,0,0,,codex_pass1,guideline_v1_round1,
228,ISSUE,0,0,,codex_pass1,guideline_v1_round1,
231,ISSUE,0,0,,codex_pass1,guideline_v1_round1,
233,ISSUE,0,0,,codex_pass1,guideline_v1_round1,
238,ISSUE,0,0,,codex_pass1,guideline_v1_round1,
245,ISSUE,0,0,,codex_pass1,guideline_v1_round1,
248,REMEDIATION,0,0,,codex_pass1,guideline_v1_round1,
255,ISSUE,0,0,,codex_pass1,guideline_v1_round1,
266,REMEDIATION,0,0,other,codex_round2_final,guideline_v1_1_round2_final,
281,ISSUE,0,0,other,codex_round2_final,guideline_v1_1_round2_final,
284,ISSUE,0,0,,codex_pass1,guideline_v1_round1,
286,ISSUE,0,0,,codex_pass1,guideline_v1_round1,
296,OTHER,0,1,other,codex_pass1,guideline_v1_round1,name fragment only
299,OTHER,0,0,status,codex_pass1,guideline_v1_round1,"status/update sentence, not direct issue or action"
301,ISSUE,0,0,other,codex_round2_final,guideline_v1_1_round2_final,
303,ISSUE,0,0,,codex_pass1,guideline_v1_round1,
308,ISSUE,0,0,,codex_pass1,guideline_v1_round1,
311,ISSUE,0,0,,codex_pass1,guideline_v1_round1,
316,ISSUE,0,0,,codex_pass1,guideline_v1_round1,
320,OTHER,0,0,background,codex_round2_final,guideline_v1_1_round2_final,"describes reassessment step, not weakness or fix"
325,REMEDIATION,0,0,other,codex_round2_final,guideline_v1_1_round2_final,
326,OTHER,0,0,background,codex_pass1,guideline_v1_round1,background or definitional sentence
327,ISSUE,0,0,,codex_pass1,guideline_v1_round1,
342,REMEDIATION,0,0,,codex_pass1,guideline_v1_round1,
344,OTHER,0,0,status,codex_round2_final,guideline_v1_1_round2_final,remediation execution status
346,OTHER,0,0,attestation,codex_pass1,guideline_v1_round1,auditor attestation mention
357,REMEDIATION,0,0,other,codex_round2_final,guideline_v1_1_round2_final,
366,OTHER,0,1,other,codex_pass1,guideline_v1_round1,split sentence; needs next sentence for full meaning
368,OTHER,0,0,status,codex_pass1,guideline_v1_round1,"status/update sentence, not direct issue or action"
376,REMEDIATION,0,0,other,codex_round2_final,guideline_v1_1_round2_final,compensating review step before filing
377,OTHER,0,0,effect,codex_pass1,guideline_v1_round1,"effect statement about financial statements, not action"
380,OTHER,0,0,status,codex_round2_final,guideline_v1_1_round2_final,generic ongoing remediation status
394,ISSUE,0,0,,codex_pass1,guideline_v1_round1,
409,ISSUE,0,0,,codex_pass1,guideline_v1_round1,
410,ISSUE,0,0,,codex_pass1,guideline_v1_round1,
412,ISSUE,0,0,other,codex_round2_final,guideline_v1_1_round2_final,
437,REMEDIATION,0,0,,codex_pass1,guideline_v1_round1,
447,ISSUE,0,0,other,codex_round2_final,guideline_v1_1_round2_final,
454,REMEDIATION,0,0,,codex_pass1,guideline_v1_round1,
458,OTHER,0,0,background,codex_pass1,guideline_v1_round1,background or definitional sentence
461,OTHER,0,0,background,codex_pass1,guideline_v1_round1,background or definitional sentence
468,OTHER,0,0,status,codex_round2_final,guideline_v1_1_round2_final,no change in ICFR status sentence
473,REMEDIATION,0,0,,codex_pass1,guideline_v1_round1,
475,REMEDIATION,0,0,,codex_pass1,guideline_v1_round1,
477,ISSUE,0,0,,codex_pass1,guideline_v1_round1,
491,REMEDIATION,0,0,other,codex_round2_final,guideline_v1_1_round2_final,
494,REMEDIATION,0,0,,codex_pass1,guideline_v1_round1,
498,ISSUE,0,0,,codex_pass1,guideline_v1_round1,
501,ISSUE,0,0,,codex_pass1,guideline_v1_round1,
503,ISSUE,0,0,,codex_pass1,guideline_v1_round1,
510,ISSUE,0,0,,codex_pass1,guideline_v1_round1,
519,REMEDIATION,0,0,,codex_pass1,guideline_v1_round1,
526,ISSUE,0,0,,codex_pass1,guideline_v1_round1,
538,REMEDIATION,1,0,other,codex_round2_final,guideline_v1_1_round2_final,mixed issue history plus concrete hiring/advisor actions
546,ISSUE,0,0,,codex_pass1,guideline_v1_round1,
548,OTHER,0,0,background,codex_round2_final,guideline_v1_1_round2_final,report placement/background sentence
560,OTHER,0,0,effect,codex_round2_final,guideline_v1_1_round2_final,fairly present assertion despite ineffective controls
561,OTHER,0,0,attestation,codex_round2_final,guideline_v1_1_round2_final,audit report statement
568,OTHER,0,0,background,codex_round2_final,guideline_v1_1_round2_final,executive change background
569,OTHER,0,1,other,codex_round2_final,guideline_v1_1_round2_final,fragment only
570,ISSUE,0,0,,codex_pass1,guideline_v1_round1,
573,ISSUE,0,0,other,codex_round2_final,guideline_v1_1_round2_final,
574,ISSUE,0,0,,codex_pass1,guideline_v1_round1,
576,OTHER,0,0,status,codex_round2_final,guideline_v1_1_round2_final,generic began taking steps language
586,ISSUE,0,0,,codex_pass1,guideline_v1_round1,
587,REMEDIATION,0,0,,codex_pass1,guideline_v1_round1,
622,REMEDIATION,0,0,,codex_pass1,guideline_v1_round1,
626,REMEDIATION,0,0,other,codex_round2_final,guideline_v1_1_round2_final,
634,ISSUE,0,0,,codex_pass1,guideline_v1_round1,
641,REMEDIATION,0,0,other,codex_round2_final,guideline_v1_1_round2_final,
650,OTHER,0,0,effect,codex_pass1,guideline_v1_round1,effect statement about no downstream impact
655,OTHER,0,0,background,codex_round2_final,guideline_v1_1_round2_final,scope exclusion/background sentence
666,OTHER,0,1,status,codex_round2_final,guideline_v1_1_round2_final,generic remediation reference without concrete step
670,ISSUE,0,0,,codex_pass1,guideline_v1_round1,
671,ISSUE,0,1,,codex_pass1,guideline_v1_round1,awkward remediation header merged with problem statement
678,ISSUE,0,0,other,codex_round2_final,guideline_v1_1_round2_final,
686,ISSUE,0,0,other,codex_round2_final,guideline_v1_1_round2_final,
693,OTHER,0,0,status,codex_pass1,guideline_v1_round1,"status/update sentence, not direct issue or action"
700,OTHER,0,0,attestation,codex_pass1,guideline_v1_round1,auditor attestation mention
708,OTHER,0,0,background,codex_pass1,guideline_v1_round1,background or definitional sentence
713,ISSUE,0,0,,codex_pass1,guideline_v1_round1,
717,ISSUE,0,0,,codex_pass1,guideline_v1_round1,
726,OTHER,0,1,other,codex_round2_final,guideline_v1_1_round2_final,lead-in to remediation list ending with including
728,REMEDIATION,0,0,,codex_pass1,guideline_v1_round1,
731,OTHER,0,0,status,codex_pass1,guideline_v1_round1,"status/update sentence, not direct issue or action"
738,ISSUE,0,0,,codex_pass1,guideline_v1_round1,
744,ISSUE,0,0,,codex_pass1,guideline_v1_round1,
746,ISSUE,0,0,other,codex_round2_final,guideline_v1_1_round2_final,
750,ISSUE,0,0,,codex_pass1,guideline_v1_round1,
761,OTHER,0,0,attestation,codex_pass1,guideline_v1_round1,auditor attestation mention
763,REMEDIATION,0,0,,codex_pass1,guideline_v1_round1,
777,ISSUE,0,0,other,codex_round2_final,guideline_v1_1_round2_final,
787,OTHER,0,0,status,codex_round2_final,guideline_v1_1_round2_final,generic remediation summary without concrete step
794,OTHER,0,1,other,codex_pass1,guideline_v1_round1,section header rather than standalone action
802,REMEDIATION,0,0,other,codex_round2_final,guideline_v1_1_round2_final,
803,REMEDIATION,0,0,,codex_pass1,guideline_v1_round1,
814,ISSUE,0,0,,codex_pass1,guideline_v1_round1,
815,ISSUE,0,0,,codex_pass1,guideline_v1_round1,
818,ISSUE,0,0,,codex_pass1,guideline_v1_round1,
826,REMEDIATION,0,0,other,codex_round2_final,guideline_v1_1_round2_final,
832,REMEDIATION,0,0,other,codex_round2_final,guideline_v1_1_round2_final,
846,REMEDIATION,0,0,,codex_pass1,guideline_v1_round1,
