row_id,doc_id,sent_id,text_raw,text_norm,quarter_end,cik,prev_text_raw,prev_text_norm,text_len_chars,short_sentence,heuristic_needs_context,proxy_label_main,proxy_flag_mixed_ab,proxy_c_subtype,legacy_hint_impact,legacy_hint_remediation,legacy_hint_attestation,legacy_hint_find_opinion,legacy_hint_find_remedia_header,legacy_hint_remedia_start_seq,legacy_ab,legacy_negative,split,pred_label,prob_ISSUE,prob_REMEDIATION,prob_OTHER,prob_max,margin_top2,review_flag,auto_accept,model_version,label_main,flag_mixed_ab,flag_needs_context,c_subtype,annotator,label_version,note
455,0001014739_2005_4,68,"also, we are developing an automated workflow and collection tool which we intend to implement in the second quarter for both our community and mail pharmacies that will focus our collectors’ efforts and better measure performance.",also we are developing an automated workflow and collection tool which we intend to implement in the second quarter for both our community and mail pharmacies that will focus our collectors efforts and better measure performance,2005-12-31,1014739,"we are adding personnel to increase our cash collection rates on both old and new accounts, and to resolve customer overpayments on a more timely basis.",we are adding personnel to increase our cash collection rates on both old and new accounts and to resolve customer overpayments on a more timely basis,228,0,0,REMEDIATION,0,other,0,1,0,False,False,28.0,0,0,trainval,REMEDIATION,0.030472408126389,0.8972028538685867,0.0723247380050243,0.8972028538685867,0.8248781158635624,0,1,e5_logreg,REMEDIATION,0,0,other,codex_remediation_worker_batch_013,guideline_v1_1_remediation_reaudit_round3,
456,0001014739_2005_4,69,we implemented an improved process to quantify and document our estimates for uncollectible accounts in the fourth quarter of 2005.,we implemented an improved process to quantify and document our estimates for uncollectible accounts in the fourth quarter of <year>,2005-12-31,1014739,"also, we are developing an automated workflow and collection tool which we intend to implement in the second quarter for both our community and mail pharmacies that will focus our collectors’ efforts and better measure performance.",also we are developing an automated workflow and collection tool which we intend to implement in the second quarter for both our community and mail pharmacies that will focus our collectors efforts and better measure performance,132,1,0,REMEDIATION,0,other,0,1,0,False,False,28.0,0,0,trainval,REMEDIATION,0.2601946070918506,0.6678372546400902,0.071968138268059,0.6678372546400902,0.4076426475482396,1,0,e5_logreg,REMEDIATION,0,0,other,codex_remediation_worker_batch_013,guideline_v1_1_remediation_reaudit_round3,
983,0001040570_2007_4,20,"anzilotti, vice president finance and corporate controller (principal accounting officer)",anzilotti vice president finance and corporate controller principal accounting officer,2007-12-31,1040570,"bdo seidman, llp, the independent registered public accounting firm who also audited our consolidated financial statements, has issued an attestation report on the effectiveness of internal control over financial reporting as of december 31, 2007, which is filed herewith. /s/ matthew m.",bdo seidman llp the independent registered public accounting firm who also audited our consolidated financial statements has issued an attestation report on the effectiveness of internal control over financial reporting as of <month> <num> <year> which is filed herewith s matthew m,86,1,0,OTHER,0,background,0,0,0,False,False,,0,1,trainval,REMEDIATION,0.1232509302624446,0.5145272884923583,0.362221781245197,0.5145272884923583,0.1523055072471612,1,0,e5_logreg,OTHER,0,1,background,codex_remediation_worker_batch_013,guideline_v1_1_remediation_reaudit_round3,Signer line only; standalone meaning is insufficient.
1222,0001056794_2007_4,17,"evaluation of and revision as needed, of calculations used in the preparation of accounts receivable, warranty, and excess and obsolete inventory reserves that fully consider the impact of changing trends in our revenues, outstanding ar balances and excess and obsolete inventory movement, and increased supervision and review over other judgmental and complex processes and transactions.",evaluation of and revision as needed of calculations used in the preparation of accounts receivable warranty and excess and obsolete inventory reserves that fully consider the impact of changing trends in our revenues outstanding ar balances and excess and obsolete inventory movement and increased supervision and review over other judgmental and complex processes and transactions,2007-06-30,1056794,controls over judgmental and complex processes and transactions were inadequate resulting in insufficient control over financial reporting.,controls over judgmental and complex processes and transactions were inadequate resulting in insufficient control over financial reporting,382,0,0,OTHER,1,effect,1,1,0,False,False,16.0,1,0,test,REMEDIATION,0.0889126453117352,0.8911744107793047,0.01991294390896,0.8911744107793047,0.8022617654675694,0,1,e5_logreg,REMEDIATION,0,0,other,codex_remediation_worker_batch_013,guideline_v1_1_remediation_reaudit_round3,
886,0001069899_2020_4,20,we have implemented a broad range of changes to our internal control over financial reporting to make progress in the remediation of the material weaknesses described in this item 9a.,we have implemented a broad range of changes to our internal control over financial reporting to make progress in the remediation of the material weaknesses described in this item 9a,2020-06-30,1069899,our progress was slowed by the effects of the covid-19 pandemic; we believe we would have made additional progress if not for the pandemic.,our progress was slowed by the effects of the covid <num> pandemic we believe we would have made additional progress if not for the pandemic,182,0,0,REMEDIATION,0,other,0,1,0,False,True,18.0,0,0,trainval,REMEDIATION,0.0498371219244739,0.5255390644036274,0.4246238136718987,0.5255390644036274,0.1009152507317286,1,0,e5_logreg,OTHER,0,0,status,codex_remediation_worker_batch_013,guideline_v1_1_remediation_reaudit_round3,Reports remediation progress without specific actions.
890,0001069899_2020_4,25,enhancing the finance team with resources with knowledge and experience in the requirements for internal control over financial reporting.,enhancing the finance team with resources with knowledge and experience in the requirements for internal control over financial reporting,2020-06-30,1069899,our ongoing actions to remediate the material weaknesses include.,our ongoing actions to remediate the material weaknesses include,137,1,0,REMEDIATION,0,other,0,1,0,False,False,18.0,0,0,trainval,REMEDIATION,0.0246445501054309,0.9115583461213548,0.0637971037732141,0.9115583461213548,0.8477612423481408,0,1,e5_logreg,REMEDIATION,0,0,other,codex_remediation_worker_batch_013,guideline_v1_1_remediation_reaudit_round3,
891,0001069899_2020_4,26,additional staff have been added with the responsibility for the design and implementation of internal controls.,additional staff have been added with the responsibility for the design and implementation of internal controls,2020-06-30,1069899,enhancing the finance team with resources with knowledge and experience in the requirements for internal control over financial reporting.,enhancing the finance team with resources with knowledge and experience in the requirements for internal control over financial reporting,111,1,0,REMEDIATION,0,other,0,1,0,False,False,18.0,0,0,trainval,REMEDIATION,0.0134964193174241,0.9478156494827942,0.0386879311997815,0.9478156494827942,0.9091277182830124,0,1,e5_logreg,REMEDIATION,0,0,other,codex_remediation_worker_batch_013,guideline_v1_1_remediation_reaudit_round3,
892,0001069899_2020_4,27,"we have also reassigned responsibilities, increased the number of roles and provided training programs related to internal control over financial reporting.",we have also reassigned responsibilities increased the number of roles and provided training programs related to internal control over financial reporting,2020-06-30,1069899,additional staff have been added with the responsibility for the design and implementation of internal controls.,additional staff have been added with the responsibility for the design and implementation of internal controls,154,0,0,REMEDIATION,0,other,0,1,0,False,False,18.0,0,0,trainval,REMEDIATION,0.0397821534291045,0.9147823667053668,0.0454354798655284,0.9147823667053668,0.8693468868398384,0,1,e5_logreg,REMEDIATION,0,0,other,codex_remediation_worker_batch_013,guideline_v1_1_remediation_reaudit_round3,
893,0001069899_2020_4,28,"updating a gap analysis of our key controls, including identifying areas where new or enhanced policies, procedures or controls are needed.",updating a gap analysis of our key controls including identifying areas where new or enhanced policies procedures or controls are needed,2020-06-30,1069899,"we have also reassigned responsibilities, increased the number of roles and provided training programs related to internal control over financial reporting.",we have also reassigned responsibilities increased the number of roles and provided training programs related to internal control over financial reporting,136,1,0,REMEDIATION,0,other,0,1,0,False,False,18.0,0,0,trainval,REMEDIATION,0.0341531306022322,0.9269764938653058,0.0388703755324619,0.9269764938653058,0.8881061183328439,0,1,e5_logreg,REMEDIATION,0,0,other,codex_remediation_worker_batch_013,guideline_v1_1_remediation_reaudit_round3,
894,0001069899_2020_4,29,"performing this analysis has allowed us to further develop a work plan to identify areas where new controls are needed or where enhancements to existing controls, policies and procedures are needed to remediate our material weaknesses.",performing this analysis has allowed us to further develop a work plan to identify areas where new controls are needed or where enhancements to existing controls policies and procedures are needed to remediate our material weaknesses,2020-06-30,1069899,"updating a gap analysis of our key controls, including identifying areas where new or enhanced policies, procedures or controls are needed.",updating a gap analysis of our key controls including identifying areas where new or enhanced policies procedures or controls are needed,233,0,0,REMEDIATION,0,other,0,1,0,False,True,18.0,0,0,trainval,REMEDIATION,0.0440580264735204,0.8350999915504254,0.1208419819760541,0.8350999915504254,0.7142580095743712,0,1,e5_logreg,REMEDIATION,0,0,other,codex_remediation_worker_batch_013,guideline_v1_1_remediation_reaudit_round3,
