row_id,doc_id,sent_id,text_raw,text_norm,quarter_end,cik,prev_text_raw,prev_text_norm,text_len_chars,short_sentence,heuristic_needs_context,proxy_label_main,proxy_flag_mixed_ab,proxy_c_subtype,legacy_hint_impact,legacy_hint_remediation,legacy_hint_attestation,legacy_hint_find_opinion,legacy_hint_find_remedia_header,legacy_hint_remedia_start_seq,legacy_ab,legacy_negative,split,pred_label,prob_ISSUE,prob_REMEDIATION,prob_OTHER,prob_max,margin_top2,review_flag,auto_accept,model_version,selection_reason,priority_rank
1,0000109380_2009_4,4,"as discussed further in item 9a., controls and procedures, the company filed amended form 10-qs for the quarterly periods ended june 30, 2009 and september 30, 2009.",as discussed further in item 9a controls and procedures the company filed amended form <num> qs for the quarterly periods ended <month> <num> <year> and <month> <num> <year>,2009-12-31,109380,,,173,0,0,OTHER,0,background,0,0,0,False,False,7.0,0,1,test,OTHER,0.1236610164027619,0.2196218963895454,0.6567170872076925,0.6567170872076925,0.4370951908181471,1,0,e5_logreg,disagreement,1
6,0001478454_2019_4,11,"the material weakness did not result in any identified misstatement to the financial statements, and there were no changes to previously released financial results.",the material weakness did not result in any identified misstatement to the financial statements and there were no changes to previously released financial results,2019-12-31,1478454,"specifically, the design of the manual journal entry review control did not ensure that all manual journal entries were captured and independently reviewed, thus management could not ensure that all entries were accurate and could not verify all manual journal entries contained sufficient supporting documentation.",specifically the design of the manual journal entry review control did not ensure that all manual journal entries were captured and independently reviewed thus management could not ensure that all entries were accurate and could not verify all manual journal entries contained sufficient supporting documentation,162,0,0,ISSUE,0,other,1,0,0,False,False,19.0,0,0,trainval,OTHER,0.4860359191253023,0.0017507654760983,0.5122133153985993,0.5122133153985993,0.0261773962732969,1,0,e5_logreg,margin,2
13,0000935419_2024_4,4,"gaap and that our receipts and expenditures are being made only in accordance with appropriate authorizations; and (3) provide reasonable assurance regarding prevention or timely detection of unauthorized acquisition, use or disposition of our assets that could have a material effect on our consolidated financial statements.",gaap and that our receipts and expenditures are being made only in accordance with appropriate authorizations and <num> provide reasonable assurance regarding prevention or timely detection of unauthorized acquisition use or disposition of our assets that could have a material effect on our consolidated financial statements,2024-09-30,935419,,,325,0,0,OTHER,0,background,0,0,0,False,False,21.0,0,1,trainval,OTHER,0.2807699497186427,0.2535053584473595,0.4657246918339978,0.4657246918339978,0.1849547421153551,1,0,e5_logreg,diversity,3
65,0000910638_2007_4,28,certain processes adopted by this service provider affected the accurate accounting for inventory and our timing of the recognition of the related revenue.,certain processes adopted by this service provider affected the accurate accounting for inventory and our timing of the recognition of the related revenue,2007-12-31,910638,"at december 31, 2007, we determined that a material weakness existed in connection with the third-party service provider that we utilize for outsourcing logistics and warehousing of our spare-parts inventory and certain of our finished goods supply activities.",at <month> <num> <year> we determined that a material weakness existed in connection with the third party service provider that we utilize for outsourcing logistics and warehousing of our spare parts inventory and certain of our finished goods supply activities,154,0,0,OTHER,1,background,1,1,0,False,False,6.0,1,0,test,ISSUE,0.6125241376397152,0.3470132247479527,0.040462637612332,0.6125241376397152,0.2655109128917625,0,1,e5_logreg,diversity,4
93,0000849146_2016_4,6,"under standards established by the public company accounting oversight board of the united states (""pcaob""), a material weakness is a deficiency, or combination of deficiencies, in internal control over financial reporting such that there is a reasonable possibility that a material misstatement of the company’s annual or interim financial statements will not be prevented or detected on a timely basis.",under standards established by the public company accounting oversight board of the united states pcaob a material weakness is a deficiency or combination of deficiencies in internal control over financial reporting such that there is a reasonable possibility that a material misstatement of the company s annual or interim financial statements will not be prevented or detected on a timely basis,2016-06-30,849146,,,396,0,0,ISSUE,0,other,1,0,0,False,False,19.0,0,0,trainval,ISSUE,0.7172937609810477,0.0074798535835998,0.2752263854353524,0.7172937609810477,0.4420673755456952,0,1,e5_logreg,random,5
100,0000849146_2016_4,13,"accordingly, we identified a material weakness in our internal controls over financial reporting as of the period ended june 30, 2016.",accordingly we identified a material weakness in our internal controls over financial reporting as of the period ended <month> <num> <year>,2016-06-30,849146,"in addition, we had inadequate controls in place related to the training, monitoring and oversight of our personnel who were involved in or managed our international business operations.",in addition we had inadequate controls in place related to the training monitoring and oversight of our personnel who were involved in or managed our international business operations,139,1,1,OTHER,0,status,0,0,0,False,False,19.0,0,1,trainval,ISSUE,0.575659933525762,0.001494715042272,0.422845351431966,0.575659933525762,0.1528145820937959,1,0,e5_logreg,diversity,6
116,0001376339_2020_4,9,"the company previously disclosed material weaknesses in internal control over financial reporting as of december 31, 2019 in our annual report on form 10-k for the year ended december 31, 2019 related to our control environment and control activities.",the company previously disclosed material weaknesses in internal control over financial reporting as of <month> <num> <year> in our annual report on form <num> k for the year ended <month> <num> <year> related to our control environment and control activities,2020-12-31,1376339,,,259,0,0,OTHER,0,status,0,0,0,False,False,10.0,0,1,trainval,ISSUE,0.5092522958759457,0.0039406993173234,0.486807004806731,0.5092522958759457,0.0224452910692146,1,0,e5_logreg,margin,7
149,0001376339_2020_4,52,this review included the identification of internal control deficiencies and the development of remediation plans for each identified deficiency.,this review included the identification of internal control deficiencies and the development of remediation plans for each identified deficiency,2020-12-31,1376339,"beginning in 2018 and continuing through 2020, management collaborated with outside consultants possessing significant financial reporting and internal control expertise to perform an extensive review of the design of the company's internal controls over financial reporting.",beginning in <year> and continuing through <year> management collaborated with outside consultants possessing significant financial reporting and internal control expertise to perform an extensive review of the design of the company s internal controls over financial reporting,144,0,1,REMEDIATION,0,other,0,1,0,False,True,10.0,0,0,trainval,REMEDIATION,0.1909033008159799,0.574536280538363,0.2345604186456569,0.574536280538363,0.3399758618927061,1,0,e5_logreg,disagreement,8
162,0000093676_2014_4,18,a global corporate finance policy (“policy”) was issued to bytewise and other domestic and foreign subsidiaries in the fourth quarter of fiscal 2014.,a global corporate finance policy policy was issued to bytewise and other domestic and foreign subsidiaries in the fourth quarter of fiscal <year>,2014-06-30,93676,"therefore, material weaknesses in the design and operating effectiveness of the internal control over revenue transactions and information technology system at bytewise exist.",therefore material weaknesses in the design and operating effectiveness of the internal control over revenue transactions and information technology system at bytewise exist,146,0,0,OTHER,0,background,0,0,0,False,False,20.0,0,1,trainval,REMEDIATION,0.1066304180786694,0.4547704787302007,0.4385991031911299,0.4547704787302007,0.0161713755390708,1,0,e5_logreg,margin,9
183,0001401257_2017_4,13,"in conducting management's evaluation of the effectiveness of our internal control over financial reporting as of december 31, 2017, we have excluded global tubing, llc, because it was acquired by the company in a purchase business combination during 2017.",in conducting management s evaluation of the effectiveness of our internal control over financial reporting as of <month> <num> <year> we have excluded global tubing llc because it was acquired by the company in a purchase business combination during <year>,2017-12-31,1401257,"this adjustment was recorded prior to the issuance of the company’s consolidated financial statements as of and for the fiscal year ended december 31, 2017.",this adjustment was recorded prior to the issuance of the company s consolidated financial statements as of and for the fiscal year ended <month> <num> <year>,257,0,0,OTHER,0,status,0,0,0,False,False,16.0,0,1,trainval,OTHER,0.2354066383021182,0.0084645573031232,0.7561288043947584,0.7561288043947584,0.5207221660926401,1,0,e5_logreg,random,10
184,0001401257_2017_4,14,"the total assets and total revenues of global tubing, llc, a wholly-owned subsidiary, constituted approximately 6% of our total consolidated assets as of december 31, 2017 and approximately 4% of our total consolidated revenues for the year then ended.",the total assets and total revenues of global tubing llc a wholly owned subsidiary constituted approximately <num> of our total consolidated assets as of <month> <num> <year> and approximately <num> of our total consolidated revenues for the year then ended,2017-12-31,1401257,"in conducting management's evaluation of the effectiveness of our internal control over financial reporting as of december 31, 2017, we have excluded global tubing, llc, because it was acquired by the company in a purchase business combination during 2017.",in conducting management s evaluation of the effectiveness of our internal control over financial reporting as of <month> <num> <year> we have excluded global tubing llc because it was acquired by the company in a purchase business combination during <year>,257,0,0,OTHER,0,status,0,0,0,False,False,16.0,0,1,trainval,OTHER,0.1787966476050468,0.0156273996337376,0.8055759527612155,0.8055759527612155,0.6267793051561688,1,0,e5_logreg,random,11
195,0000828146_2005_4,11,"this practice results in a re-measurement date as defined under stock option accounting rules, which require a revaluation of any stock options given this benefit.",this practice results in a re measurement date as defined under stock option accounting rules which require a revaluation of any stock options given this benefit,2005-12-31,828146,"the failure to have identified certain material adjustments to the financial statements also resulted in the following restatement issues. - failure to identify $1.0 million in payables due to a vendor, for the third and fourth quarters of 2004 and the first and second quarters of 2005, that were not properly recorded and a write-down of $1.1 million of certain net receivables from the same vendor, for the fourth quarters of 2002 and 2003, as a result of not reconciling accounts with the vendor in a timely manner; and. - failure to record stock option expense, in accordance with generally accepted accounting principles (gaap), of $2,400,000, $221,000 and $108,000 for 2001, 2004 and 2005, respectively, by allowing terminated employees to extend the period in which to exercise their options to 30 days after a black out period as opposed to 30 days after termination as explicitly stated in our stock option plan.",the failure to have identified certain material adjustments to the financial statements also resulted in the following restatement issues failure to identify $ <num> <num> million in payables due to a vendor for the third and fourth quarters of <year> and the first and second quarters of <year> that were not properly recorded and a write down of $ <num> <num> million of certain net receivables from the same vendor for the fourth quarters of <year> and <year> as a result of not reconciling accounts with the vendor in a timely manner and failure to record stock option expense in accordance with generally accepted accounting principles gaap of $ <num> <num> <num> $ <num> <num> and $ <num> <num> for <year> <year> and <year> respectively by allowing terminated employees to extend the period in which to exercise their options to <num> days after a black out period as opposed to <num> days after termination as explicitly stated in our stock option plan,161,0,1,OTHER,0,background,0,0,0,False,False,14.0,0,1,test,OTHER,0.206275669559225,0.3958888496729829,0.3978354807677921,0.3978354807677921,0.0019466310948092,1,0,e5_logreg,margin,12
217,0001036968_2006_4,18,"2) the material weakness in our control environment contributed to the existence of the following control deficiencies, each of which is considered to be a material weakness. a) we did not maintain effective controls over our process to ensure the complete, accurate and timely preparation and review of our consolidated financial statements in accordance with gaap.",<num> the material weakness in our control environment contributed to the existence of the following control deficiencies each of which is considered to be a material weakness a we did not maintain effective controls over our process to ensure the complete accurate and timely preparation and review of our consolidated financial statements in accordance with gaap,2006-12-31,1036968,"these control deficiencies affect substantially all financial statement accounts, which could result in a material misstatement to our interim or annual consolidated financial statements that would not be prevented or detected.",these control deficiencies affect substantially all financial statement accounts which could result in a material misstatement to our interim or annual consolidated financial statements that would not be prevented or detected,364,0,0,OTHER,0,background,0,0,0,True,False,,0,1,trainval,ISSUE,0.9403898305671732,0.0031047289796804,0.0565054404531462,0.9403898305671732,0.883884390114027,0,1,e5_logreg,diversity,13
243,0001137861_2006_4,5,"management’s assessment of the effectiveness of our internal control over financial reporting as of december 31, 2006, has been audited by kpmg llp, an independent registered public accounting firm, as stated in their report included within this annual report.",management s assessment of the effectiveness of our internal control over financial reporting as of <month> <num> <year> has been audited by kpmg llp an independent registered public accounting firm as stated in their report included within this annual report,2006-12-31,1137861,"a material weakness is a control deficiency, or combination of deficiencies, that results in more than a remote likelihood that a material misstatement of the annual or interim financial statements will not be prevented or detected.",a material weakness is a control deficiency or combination of deficiencies that results in more than a remote likelihood that a material misstatement of the annual or interim financial statements will not be prevented or detected,259,0,0,OTHER,0,attestation,0,0,1,False,False,9.0,0,0,trainval,OTHER,0.0196878054597091,0.0825656012279584,0.8977465933123324,0.8977465933123324,0.815180992084374,0,1,e5_logreg,diversity,14
287,0000850033_2014_4,16,"based on the trustee’s assessment, and as a result of the material weakness discussed above, the trustee has concluded that, as of december 31, 2014, the trust’s internal control over financial reporting was not effective based on those criteria.",based on the trustee s assessment and as a result of the material weakness discussed above the trustee has concluded that as of <month> <num> <year> the trust s internal control over financial reporting was not effective based on those criteria,2014-12-31,850033,"accordingly, a reasonable possibility exists that a material misstatement of revenue or disclosure of revenue to be received in the subsequent quarter could occur and remain undetected in the trust’s interim or annual financial statements.",accordingly a reasonable possibility exists that a material misstatement of revenue or disclosure of revenue to be received in the subsequent quarter could occur and remain undetected in the trust s interim or annual financial statements,244,0,0,OTHER,0,effect,0,0,0,True,False,18.0,0,1,test,ISSUE,0.5186269978980339,0.00066446006394,0.4807085420380259,0.5186269978980339,0.0379184558600079,1,0,e5_logreg,margin,15
