row_id,doc_id,sent_id,text_raw,text_norm,quarter_end,cik,prev_text_raw,prev_text_norm,text_len_chars,short_sentence,heuristic_needs_context,proxy_label_main,proxy_flag_mixed_ab,proxy_c_subtype,legacy_hint_impact,legacy_hint_remediation,legacy_hint_attestation,legacy_hint_find_opinion,legacy_hint_find_remedia_header,legacy_hint_remedia_start_seq,legacy_ab,legacy_negative,split,pred_label,prob_ISSUE,prob_REMEDIATION,prob_OTHER,prob_max,margin_top2,review_flag,auto_accept,model_version,selection_reason,priority_rank,blind_pass_order,label_main,flag_mixed_ab,flag_needs_context,c_subtype,annotator,label_version,note
1354,0000835011_2006_4,39,"certain of the aforementioned significant deficiencies (items 2, 3, 5 (to the extent related to annual inventories in atchison) and 6) were disclosed in our previous fiscal year 10k report dated june 30, 2005.",certain of the aforementioned significant deficiencies items <num> <num> <num> to the extent related to annual inventories in atchison and <num> were disclosed in our previous fiscal year 10k report dated <month> <num> <year>,2006-06-30,835011,these practices could result in unauthorized or undocumented purchases.,these practices could result in unauthorized or undocumented purchases,225,0,0,OTHER,0,background,0,0,0,False,False,43.0,0,1,test,ISSUE,0.5485962430897976,0.0076795328273288,0.4437242240828735,0.5485962430897976,0.104872019006924,1,0,e5_logreg,disagreement,84,1,OTHER,0,0,background,codex_round2_pass2,guideline_v1_round2_stage_a_pass2,historical disclosure status
1393,0000089089_2007_4,42,"high turnover within the accounting and finance function, which led to the extensive use of contract and temporary resources to prepare certain account reconciliations; and .",high turnover within the accounting and finance function which led to the extensive use of contract and temporary resources to prepare certain account reconciliations and,2007-12-31,89089,inadequate policies and procedures in place to effectively reconcile general ledger accounts to supporting detail; .,inadequate policies and procedures in place to effectively reconcile general ledger accounts to supporting detail,170,0,0,REMEDIATION,0,other,0,1,0,False,False,25.0,0,0,test,ISSUE,0.5387869432911659,0.4297667299150718,0.0314463267937621,0.5387869432911659,0.109020213376094,1,0,e5_logreg,disagreement,87,2,ISSUE,0,0,other,codex_round2_pass2,guideline_v1_round2_stage_a_pass2,
666,0000827054_2019_4,25,"in connection with the identified material weaknesses related to accounting for income taxes and to it system access, we have taken steps to remediate the material weaknesses as described above.",in connection with the identified material weaknesses related to accounting for income taxes and to it system access we have taken steps to remediate the material weaknesses as described above,2019-03-31,827054,"changes in internal control over financial reporting on may 29, 2018, we completed our acquisition of microsemi which operated under its own set of systems and internal controls.",changes in internal control over financial reporting on <month> <num> <year> we completed our acquisition of microsemi which operated under its own set of systems and internal controls,192,0,0,REMEDIATION,0,other,0,1,0,False,True,15.0,0,0,trainval,ISSUE,0.5433542524916225,0.4207281492768263,0.0359175982315511,0.5433542524916225,0.1226261032147962,1,0,e5_logreg,disagreement,36,3,REMEDIATION,0,1,other,codex_round2_pass2,guideline_v1_round2_stage_a_pass2,generic remediation reference as described above
678,0001517022_2023_4,17,"remediation of previously identified material weakness - product return reserves as disclosed in our 2022 annual report on form 10-k/a, our management identified a material weakness in our internal control over financial reporting relating to product return reserves.",remediation of previously identified material weakness product return reserves as disclosed in our <year> annual report on form <num> k a our management identified a material weakness in our internal control over financial reporting relating to product return reserves,2023-12-31,1517022,"until the controls have been operating for a sufficient period of time and management has concluded, through testing, that these controls are operating effectively, the material weakness described above will continue to exist.",until the controls have been operating for a sufficient period of time and management has concluded through testing that these controls are operating effectively the material weakness described above will continue to exist,268,0,0,REMEDIATION,0,other,0,1,0,False,True,9.0,0,0,trainval,ISSUE,0.5576910812228514,0.0237509847860668,0.4185579339910816,0.5576910812228514,0.1391331472317697,1,0,e5_logreg,disagreement,37,4,ISSUE,0,0,other,codex_round2_pass2,guideline_v1_round2_stage_a_pass2,
120,0001376339_2020_4,14,the company identified material weaknesses corresponding to the control activities component of internal control as defined by coso as described below.,the company identified material weaknesses corresponding to the control activities component of internal control as defined by coso as described below,2020-12-31,1376339,management has reported to the audit committee the status of these remediation actions.,management has reported to the audit committee the status of these remediation actions,150,0,0,REMEDIATION,0,other,0,1,0,False,False,10.0,0,0,trainval,ISSUE,0.5505325942729662,0.0495897010924848,0.3998777046345489,0.5505325942729662,0.1506548896384172,1,0,e5_logreg,disagreement,7,5,ISSUE,0,0,other,codex_round2_pass2,guideline_v1_round2_stage_a_pass2,
171,0000739608_2014_4,19,"remediation of previously disclosed material weaknesses in connection with the evaluation of internal control over financial reporting as of august 31, 2013, the company identified that a material weakness in internal control over financial reporting existed relating to the effective design of controls over the accuracy of prices used to value ending inventory.",remediation of previously disclosed material weaknesses in connection with the evaluation of internal control over financial reporting as of <month> <num> <year> the company identified that a material weakness in internal control over financial reporting existed relating to the effective design of controls over the accuracy of prices used to value ending inventory,2014-08-31,739608,"kpmg llp, an independent registered public accounting firm, has audited the consolidated financial statements included in this annual report on form 10-k and, as part of its audit, has issued an audit report on the effectiveness of the company’s internal control over financial reporting, which is included in item 8 of this form 10-k.",kpmg llp an independent registered public accounting firm has audited the consolidated financial statements included in this annual report on form <num> k and as part of its audit has issued an audit report on the effectiveness of the company s internal control over financial reporting which is included in item <num> of this form <num> k,366,0,0,REMEDIATION,0,other,0,1,0,False,True,19.0,0,0,trainval,ISSUE,0.5506367533009905,0.0512732913310085,0.3980899553680008,0.5506367533009905,0.1525467979329896,1,0,e5_logreg,disagreement,10,6,ISSUE,0,0,other,codex_round2_pass2,guideline_v1_round2_stage_a_pass2,
573,0001285224_2010_4,23,the consolidated financial statements contained in this annual report on form 10-k reflect such material adjustments.,the consolidated financial statements contained in this annual report on form <num> k reflect such material adjustments,2010-12-31,1285224,"in addition, there was an increase in the classification of nonperforming loans of $6.6 million.",in addition there was an increase in the classification of nonperforming loans of $ <num> <num> million,119,1,0,ISSUE,0,other,1,0,0,False,False,26.0,0,0,trainval,ISSUE,0.5730476901045585,0.0225628622204963,0.4043894476749452,0.5730476901045585,0.1686582424296132,1,0,e5_logreg,disagreement,31,7,OTHER,0,0,effect,codex_round2_pass2,guideline_v1_round2_stage_a_pass2,material adjustments outcome statement
1142,0000072911_2005_4,8,"52; . lack of sufficient personnel with appropriate knowledge, experience and training in u.s.",<num> lack of sufficient personnel with appropriate knowledge experience and training in u s,2005-12-31,72911,"these material weaknesses, which are the same material weaknesses that existed as at december 31, 2004 and as first reported in our 2003 annual report, are. lack of compliance with written nortel procedures for monitoring and adjusting balances related to certain accruals and provisions, including restructuring charges and contract and customer accruals; . lack of compliance with nortel procedures for appropriately applying applicable gaap to the initial recording of certain liabilities, including those described in sfas no. 5, and to foreign currency translation as described in sfas no.",these material weaknesses which are the same material weaknesses that existed as at <month> <num> <year> and as first reported in our <year> annual report are lack of compliance with written nortel procedures for monitoring and adjusting balances related to certain accruals and provisions including restructuring charges and contract and customer accruals lack of compliance with nortel procedures for appropriately applying applicable gaap to the initial recording of certain liabilities including those described in sfas no <num> and to foreign currency translation as described in sfas no,92,1,0,OTHER,0,background,0,0,0,False,False,10.0,0,1,trainval,ISSUE,0.5690640333058918,0.0420130030869086,0.3889229636071996,0.5690640333058918,0.1801410696986922,1,0,e5_logreg,disagreement,70,8,ISSUE,0,0,other,codex_round2_pass2,guideline_v1_round2_stage_a_pass2,
1524,0000315545_2016_4,22,"management’s review of the year’s activities in combination with its assessment of internal controls at december 31, 2016 identified the below-described material weaknesses.",management s review of the year s activities in combination with its assessment of internal controls at <month> <num> <year> identified the below described material weaknesses,2016-12-31,315545,"marcum llp has issued an attestation report on our internal control over financial reporting as of december 31, 2016, which is set forth below.",marcum llp has issued an attestation report on our internal control over financial reporting as of <month> <num> <year> which is set forth below,175,0,0,OTHER,0,background,0,0,0,False,False,43.0,0,1,trainval,ISSUE,0.5791131450159942,0.0456832191400536,0.3752036358439521,0.5791131450159942,0.2039095091720421,0,1,e5_logreg,disagreement,96,9,ISSUE,0,0,other,codex_round2_pass2,guideline_v1_round2_stage_a_pass2,
1558,0001376339_2019_4,16,the company identified material weaknesses corresponding to the control environment and control activities components of internal control as defined by coso as described below.,the company identified material weaknesses corresponding to the control environment and control activities components of internal control as defined by coso as described below,2019-12-31,1376339,management has reported to the audit committee the status of these remediation actions.,management has reported to the audit committee the status of these remediation actions,175,0,0,REMEDIATION,0,other,0,1,0,False,False,12.0,0,0,test,ISSUE,0.553676294566765,0.1047475773321764,0.3415761281010585,0.553676294566765,0.2121001664657065,0,1,e5_logreg,disagreement,98,10,ISSUE,0,0,other,codex_round2_pass2,guideline_v1_round2_stage_a_pass2,
