row_id,doc_id,sent_id,text_raw,text_norm,quarter_end,cik,prev_text_raw,prev_text_norm,text_len_chars,short_sentence,heuristic_needs_context,proxy_label_main,proxy_flag_mixed_ab,proxy_c_subtype,legacy_hint_impact,legacy_hint_remediation,legacy_hint_attestation,legacy_hint_find_opinion,legacy_hint_find_remedia_header,legacy_hint_remedia_start_seq,legacy_ab,legacy_negative,split,pred_label,prob_ISSUE,prob_REMEDIATION,prob_OTHER,prob_max,margin_top2,review_flag,auto_accept,model_version,uncertainty_score
320,0001289945_2007_4,7,during the year-end procedures for calculating the annual income tax provision the company reassessed the evidence supporting the reversal of income tax liabilities impacted by expiration of assessment statutes.,during the year end procedures for calculating the annual income tax provision the company reassessed the evidence supporting the reversal of income tax liabilities impacted by expiration of assessment statutes,2007-12-31,1289945,specifically the company did not maintain effective controls to review and monitor the accuracy of the components of the third quarter income tax provision calculation.,specifically the company did not maintain effective controls to review and monitor the accuracy of the components of the third quarter income tax provision calculation,210,0,0,OTHER,0,effect,0,0,0,False,False,12.0,0,1,trainval,ISSUE,0.3550822168347678,0.3070016825346123,0.33791610063061994,0.3550822168347678,0.017166116204147874,1,0,e5_logreg,1.6277516669610843
1069,0001129633_2015_4,71,gaap accounting for complex reinsurance transactions at inception.,gaap accounting for complex reinsurance transactions at inception,2015-12-31,1129633,"ineffective controls over the analysis, documentation and review of the u.s.",ineffective controls over the analysis documentation and review of the u s,65,1,0,REMEDIATION,0,other,0,1,0,False,False,9.0,0,0,test,REMEDIATION,0.34886375969557765,0.36063557660507994,0.2905006636993424,0.36063557660507994,0.011771816909502297,1,0,e5_logreg,1.6275926064854178
195,0000828146_2005_4,11,"this practice results in a re-measurement date as defined under stock option accounting rules, which require a revaluation of any stock options given this benefit.",this practice results in a re measurement date as defined under stock option accounting rules which require a revaluation of any stock options given this benefit,2005-12-31,828146,"the failure to have identified certain material adjustments to the financial statements also resulted in the following restatement issues. - failure to identify $1.0 million in payables due to a vendor, for the third and fourth quarters of 2004 and the first and second quarters of 2005, that were not properly recorded and a write-down of $1.1 million of certain net receivables from the same vendor, for the fourth quarters of 2002 and 2003, as a result of not reconciling accounts with the vendor in a timely manner; and. - failure to record stock option expense, in accordance with generally accepted accounting principles (gaap), of $2,400,000, $221,000 and $108,000 for 2001, 2004 and 2005, respectively, by allowing terminated employees to extend the period in which to exercise their options to 30 days after a black out period as opposed to 30 days after termination as explicitly stated in our stock option plan.",the failure to have identified certain material adjustments to the financial statements also resulted in the following restatement issues failure to identify $ <num> <num> million in payables due to a vendor for the third and fourth quarters of <year> and the first and second quarters of <year> that were not properly recorded and a write down of $ <num> <num> million of certain net receivables from the same vendor for the fourth quarters of <year> and <year> as a result of not reconciling accounts with the vendor in a timely manner and failure to record stock option expense in accordance with generally accepted accounting principles gaap of $ <num> <num> <num> $ <num> <num> and $ <num> <num> for <year> <year> and <year> respectively by allowing terminated employees to extend the period in which to exercise their options to <num> days after a black out period as opposed to <num> days after termination as explicitly stated in our stock option plan,161,0,1,OTHER,0,background,0,0,0,False,False,14.0,0,1,test,OTHER,0.20627566955922502,0.3958888496729829,0.3978354807677921,0.3978354807677921,0.001946631094809248,1,0,e5_logreg,1.6002178881373985
565,0001285224_2010_4,15,this loan officer is no longer with the company.,this loan officer is no longer with the company,2010-12-31,1285224,the scope of the company's internal investigation was extensive and included loan related activities and other matters involving improper activities of a loan officer.,the scope of the company s internal investigation was extensive and included loan related activities and other matters involving improper activities of a loan officer,47,1,1,OTHER,0,background,0,0,0,False,False,26.0,0,1,trainval,REMEDIATION,0.3017987231049358,0.36733993092571154,0.33086134596935274,0.36733993092571154,0.036478584956358806,1,0,e5_logreg,1.5961814841179298
443,0001014739_2005_4,56,accounts receivable .,accounts receivable,2005-12-31,1014739,we believe that the consolidation of systems in our community pharmacies will improve our control environment and reduce the likelihood of revenue adjustments.,we believe that the consolidation of systems in our community pharmacies will improve our control environment and reduce the likelihood of revenue adjustments,19,1,0,REMEDIATION,0,other,0,1,0,False,False,28.0,0,0,trainval,ISSUE,0.3810440559066568,0.26444271656361,0.35451322752973313,0.3810440559066568,0.026530828376923665,1,0,e5_logreg,1.5924251157164195
1051,0001129633_2015_4,53,&#9702; implemented controls over identification and measurement of impaired investments.,<year> implemented controls over identification and measurement of impaired investments,2015-12-31,1129633,"principally, the remediation efforts included.",principally the remediation efforts included,87,1,0,REMEDIATION,0,other,0,1,0,False,False,9.0,0,0,test,OTHER,0.24686963643093837,0.36355607860364847,0.3895742849654132,0.3895742849654132,0.026018206361764717,1,0,e5_logreg,1.5844075086728222
1547,0000315545_2016_4,47,established a policy so travel advances are no longer permitted; and .,established a policy so travel advances are no longer permitted and,2016-12-31,315545,"adopted a control enhancement to require the provision of all invoice copies along with the check register for appropriate approval, including all travel reimbursements separately approved; .",adopted a control enhancement to require the provision of all invoice copies along with the check register for appropriate approval including all travel reimbursements separately approved,67,1,0,REMEDIATION,0,other,0,1,0,False,False,43.0,0,0,trainval,OTHER,0.2453354287874647,0.3644941153792312,0.39017045583330406,0.39017045583330406,0.025676340454072855,1,0,e5_logreg,1.584153203712623
601,0000783412_2014_4,28,"financial statements and supplementary data contain an unqualified audit opinion from bdo usa, llp.",financial statements and supplementary data contain an unqualified audit opinion from bdo usa llp,2014-09-30,783412,"also, the company’s consolidated financial statements in item 8.",also the company s consolidated financial statements in item <num>,97,1,0,OTHER,0,background,0,0,0,False,False,,0,1,trainval,OTHER,0.3629543047742736,0.24712526924097203,0.38992042598475435,0.38992042598475435,0.026966121210480754,1,0,e5_logreg,1.5831134528047648
608,0000317788_2016_4,18,"hired a chief accounting officer “cao” on february 27, 2015 (who recently resigned; mr.",hired a chief accounting officer cao on <month> <num> <year> who recently resigned mr,2016-03-31,317788,completed actions .,completed actions,85,1,0,REMEDIATION,0,other,0,1,0,False,False,15.0,0,0,trainval,ISSUE,0.4039357811098591,0.21140259626427982,0.3846616226258612,0.4039357811098591,0.01927415848399794,1,0,e5_logreg,1.576790060406143
709,0000891178_2005_4,5,"further because of changes in conditions as well as the complexity of the applicable rules and changes in personnel, the effectiveness of internal controls may vary over time.",further because of changes in conditions as well as the complexity of the applicable rules and changes in personnel the effectiveness of internal controls <month> vary over time,2005-12-31,891178,"there are inherent limitations in the effectiveness of any internal control, including the complexity of the applicable rules, the possibility of human error in the understanding and/or application of the rules and the circumvention or overriding of controls.",there are inherent limitations in the effectiveness of any internal control including the complexity of the applicable rules the possibility of human error in the understanding and or application of the rules and the circumvention or overriding of controls,177,0,0,OTHER,0,background,0,0,0,False,False,26.0,0,1,trainval,OTHER,0.350035609747903,0.26210001293628815,0.3878643773158088,0.3878643773158088,0.03782876756790582,1,0,e5_logreg,1.5743068551162853
