row_id,doc_id,sent_id,text_raw,text_norm,quarter_end,cik,prev_text_raw,prev_text_norm,text_len_chars,short_sentence,heuristic_needs_context,proxy_label_main,proxy_flag_mixed_ab,proxy_c_subtype,legacy_hint_impact,legacy_hint_remediation,legacy_hint_attestation,legacy_hint_find_opinion,legacy_hint_find_remedia_header,legacy_hint_remedia_start_seq,legacy_ab,legacy_negative,split,pred_label,prob_ISSUE,prob_REMEDIATION,prob_OTHER,prob_max,margin_top2,review_flag,auto_accept,model_version,uncertainty_score,audit_bucket,audit_reason,is_target_review_case
1065,0001129633_2015_4,67,&#9702; established an accounting policy to reflect the risk of counterparty non-performance in the company’s estimates of derivative fair value.,<year> established an accounting policy to reflect the risk of counterparty non performance in the company s estimates of derivative fair value,2015-12-31,1129633,"principally, the remediation efforts included.",principally the remediation efforts included,143,0,0,REMEDIATION,0,other,0,1,0,False,False,9.0,0,0,test,ISSUE,0.3745381205512825,0.2687239515502748,0.3567379278984426,0.3745381205512825,0.0178001926528399,1,0,e5_logreg,1.6076616867958775,clear_remediation,concrete policy/action sentence,0
568,0001285224_2010_4,18,our former chief executive officer resigned following the revelation of these activities to our board of directors and was replaced by our present chief executive officer.,our former chief executive officer resigned following the revelation of these activities to our board of directors and was replaced by our present chief executive officer,2010-12-31,1285224,"additionally, these processes lacked effective supervision and oversight by the former chief executive officer and other lending management personnel.",additionally these processes lacked effective supervision and oversight by the former chief executive officer and other lending management personnel,170,0,0,OTHER,0,background,0,0,0,False,False,26.0,0,1,trainval,ISSUE,0.4136982109712752,0.4093363881797707,0.1769654008489539,0.4136982109712752,0.0043618227915044,1,0,e5_logreg,1.5819399662372202,clear_background,executive change background,0
787,0001754195_2023_4,9,"in response to the identified material weaknesses, management, with the oversight of the audit committee of the board of directors, has taken a number of remediation actions during the year ending december 31, 2023, and continues to address these deficiencies.",in response to the identified material weaknesses management with the oversight of the audit committee of the board of directors has taken a number of remediation actions during the year ending <month> <num> <year> and continues to address these deficiencies,2023-12-31,1754195,"ineffective design, implementation, and documentation of management review controls related to the valuation of inventory.",ineffective design implementation and documentation of management review controls related to the valuation of inventory,258,0,1,REMEDIATION,0,other,0,1,0,False,True,8.0,0,0,trainval,OTHER,0.2087668818959482,0.3844824949056377,0.4067506231984141,0.4067506231984141,0.0222681282927763,1,0,e5_logreg,1.5709812485088095,ambiguous,remediation action and status blended,1
447,0001014739_2005_4,60,the transaction volume exceeded our human resource capacity.,the transaction volume exceeded our human resource capacity,2005-12-31,1014739,"table of contents. former employees, and created new processes.",table of contents former employees and created new processes,59,1,0,REMEDIATION,0,other,0,1,0,False,False,28.0,0,0,trainval,OTHER,0.210060055317669,0.3820765913095427,0.4078633533727883,0.4078633533727883,0.0257867620632455,1,0,e5_logreg,1.5663498845639665,clear_issue,capacity constraint/problem statement,0
641,0000028823_2018_4,26,revoking the access to it systems of those individuals that were identified as inappropriate; .,revoking the access to it systems of those individuals that were identified as inappropriate,2018-12-31,28823,improving our timely written communication of changes in financial reporting and related controls affecting both business and financial users; .,improving our timely written communication of changes in financial reporting and related controls affecting both business and financial users,92,1,0,REMEDIATION,0,other,0,1,0,False,False,22.0,0,0,trainval,OTHER,0.2691086314526795,0.3426662469556545,0.3882251215916659,0.3882251215916659,0.0455588746360113,1,0,e5_logreg,1.5662160037723227,clear_remediation,specific remediation action,0
380,0000717954_2023_4,24,"in response to the material weakness above, management is continuing to take actions to remediate the material weakness in internal control over financial reporting.",in response to the material weakness above management is continuing to take actions to remediate the material weakness in internal control over financial reporting,2023-08-26,717954,"ernst & young llp has issued an unqualified opinion on our financial statements, which is included in item 8 of this annual report on form 10-k.",ernst young llp has issued an unqualified opinion on our financial statements which is included in item <num> of this annual report on form <num> k,163,0,1,REMEDIATION,0,other,0,1,0,False,True,14.0,0,0,trainval,REMEDIATION,0.3801271882617934,0.408783700985888,0.2110891107523185,0.408783700985888,0.0286565127240946,1,0,e5_logreg,1.5625597862900171,ambiguous,ongoing remediation action/status blend,1
1471,0000216039_2008_4,12,these actions are reasonably likely to materially affect our internal control over financial reporting.,these actions are reasonably likely to materially affect our internal control over financial reporting,2008-12-31,216039,"however, because many of the remedial actions we have undertaken are very recent and because they relate, in part, to the hiring of additional personnel and many of the controls in our system of internal controls rely extensively on manual review and approval, the successful operation of these controls for, at least, several fiscal quarters may be required prior to management being able to conclude that the material weakness has been eliminated.",however because many of the remedial actions we have undertaken are very recent and because they relate in part to the hiring of additional personnel and many of the controls in our system of internal controls rely extensively on manual review and approval the successful operation of these controls for at least several fiscal quarters <month> be required prior to management being able to conclude that the material weakness has been eliminated,102,1,1,REMEDIATION,0,other,0,1,0,False,False,1.0,0,0,trainval,ISSUE,0.4302525382292857,0.1512651155081546,0.4184823462625597,0.4302525382292857,0.011770191966726,1,0,e5_logreg,1.5579772698039882,needs_context,deictic reference to prior actions,1
1229,0001087934_2014_4,16,we have initiated and/or completed the following actions once the material weakness was identified in the fourth quarter of 2014.,we have initiated and or completed the following actions once the material weakness was identified in the fourth quarter of <year>,2014-12-31,1087934,"41 remediation efforts in response to the material weakness described above, our management, with the oversight from our audit committee of the board of directors, plans to take measures to remediate the underlying causes of the material weakness.",<num> remediation efforts in response to the material weakness described above our management with the oversight from our audit committee of the board of directors plans to take measures to remediate the underlying causes of the material weakness,130,1,0,REMEDIATION,0,other,0,1,0,True,False,13.0,0,0,trainval,REMEDIATION,0.4473996984789783,0.4481199634413579,0.1044803380796637,0.4481199634413579,0.0007202649623795,1,0,e5_logreg,1.5511597715962626,needs_context,lead-in to action list,1
37,0001002388_2006_4,20,"as a result, we historically capitalized software development costs prior to the achievement of technological feasibility.",as a result we historically capitalized software development costs prior to the achievement of technological feasibility,2006-03-31,1002388,"as a result of an internal review of our historical accounting for software development costs, we determined that we did not have contemporaneous evidence of the achievement of technological feasibility of our software development projects as required for capitalization under sfas no.",as a result of an internal review of our historical accounting for software development costs we determined that we did not have contemporaneous evidence of the achievement of technological feasibility of our software development projects as required for capitalization under sfas no,120,1,1,OTHER,0,effect,0,0,0,False,False,,0,1,trainval,OTHER,0.4019930800858913,0.1690665056217009,0.4289404142924078,0.4289404142924078,0.0269473342065165,1,0,e5_logreg,1.5441122515010757,needs_context,consequence depends on prior issue context,1
908,0000077281_2021_4,21,the company took the following steps in 2021 toward remediation of the material weakness discussed in the prior year.,the company took the following steps in <year> toward remediation of the material weakness discussed in the prior year,2021-12-31,77281,"while our remediation activities in 2021 did result in attracting and retaining sufficient personnel with requisite financial expertise and appropriately considering risks of fraud, including the possibility of management override of controls and proper segregation of duties, our remediation activities remain ongoing.",while our remediation activities in <year> did result in attracting and retaining sufficient personnel with requisite financial expertise and appropriately considering risks of fraud including the possibility of management override of controls and proper segregation of duties our remediation activities remain ongoing,118,1,0,REMEDIATION,0,other,0,1,0,False,True,12.0,0,0,trainval,REMEDIATION,0.1284517576803852,0.4450200052290067,0.426528237090608,0.4450200052290067,0.0184917681383986,1,0,e5_logreg,1.5364882266325943,needs_context,lead-in to remediation steps,1
