row_id,doc_id,sent_id,text_raw,text_norm,quarter_end,cik,prev_text_raw,prev_text_norm,text_len_chars,short_sentence,heuristic_needs_context,proxy_label_main,proxy_flag_mixed_ab,proxy_c_subtype,legacy_hint_impact,legacy_hint_remediation,legacy_hint_attestation,legacy_hint_find_opinion,legacy_hint_find_remedia_header,legacy_hint_remedia_start_seq,legacy_ab,legacy_negative,split,sampling_bucket,is_boundary_case,legacy_suggested_label,legacy_suggested_mixed_ab,legacy_suggested_needs_context,legacy_suggested_c_subtype,label_main_pass2,flag_mixed_ab_pass2,flag_needs_context_pass2,c_subtype_pass2,annotator,note,label_version,blind_pass_order,label_main_pass1,flag_mixed_ab_pass1,flag_needs_context_pass1,c_subtype_pass1,label_changed,mixed_changed,needs_changed,subtype_changed,has_any_disagreement,disagreement_type
750,0000918958_2006_4,22,"we have restated our audited consolidated financial statements through a cumulative adjustment to increase accumulated deficit as of december 31, 2003 by $3.5 million and increased our net income by $1.7 million and $1.5 million for the years ended december 31, 2005 and december 31, 2004, respectively, to correct these errors.",we have restated our audited consolidated financial statements through a cumulative adjustment to increase accumulated deficit as of <month> <num> <year> by $ <num> <num> million and increased our net income by $ <num> <num> million and $ <num> <num> million for the years ended <month> <num> <year> and <month> <num> <year> respectively to correct these errors,2006-12-31,918958,"as a result of this material weakness, net income for the years ended december 31, 1997 through 2005 was overstated.",as a result of this material weakness net income for the years ended <month> <num> <year> through <year> was overstated,361,0,0,OTHER,1,effect,1,1,0,False,False,9.0,1,0,trainval,legacy_issue_and_remediation,1,OTHER,1,0,effect,OTHER,0,0,effect,codex_pass2,effect statement rather than direct issue/action,guideline_v1_round1_pass2,1,ISSUE,0,0,,True,False,False,True,True,ISSUE->OTHER
987,0000873303_2013_4,11,this material weakness resulted in a reasonable possibility that a material misstatement of the company’s annual or interim consolidated financial statements related to research and development expenses and other current assets would not be prevented or detected.,this material weakness resulted in a reasonable possibility that a material misstatement of the company s annual or interim consolidated financial statements related to research and development expenses and other current assets would not be prevented or detected,2013-12-31,873303,the company did not design and implement controls to adequately review and consider the recognition and measurement of new significant research and development contracts.,the company did not design and implement controls to adequately review and consider the recognition and measurement of new significant research and development contracts,262,0,1,ISSUE,0,other,1,0,0,False,False,14.0,0,0,test,legacy_issue_only,1,ISSUE,0,1,other,ISSUE,0,0,,codex_pass2,,guideline_v1_round1_pass2,2,ISSUE,0,0,,False,False,False,False,False,none
858,0000023666_2012_4,13,this control deficiency resulted in the restatement of the company’s consolidated financial statements for fiscal years 2010 and 2011 and of the company’s unaudited interim financial data for the first three quarters of fiscal years 2011 and 2012.,this control deficiency resulted in the restatement of the company s consolidated financial statements for fiscal years <year> and <year> and of the company s unaudited interim financial data for the first three quarters of fiscal years <year> and <year>,2012-06-30,23666,"management determined a control deficiency existed related to an ineffective control environment maintained by management in its brazil operations, including intentional overrides of internal controls, extensive cross-functional collusion by personnel in brazil and communication and actions by management in brazil that, in certain instances, overly emphasized meeting earning targets contributing to the lack of adherence to existing internal control procedures and u.s.",management determined a control deficiency existed related to an ineffective control environment maintained by management in its brazil operations including intentional overrides of internal controls extensive cross functional collusion by personnel in brazil and communication and actions by management in brazil that in certain instances overly emphasized meeting earning targets contributing to the lack of adherence to existing internal control procedures and u s,254,0,1,ISSUE,0,other,1,0,0,False,False,,0,0,trainval,legacy_issue_only,1,ISSUE,0,1,other,ISSUE,0,0,,codex_pass2,,guideline_v1_round1_pass2,3,ISSUE,0,0,,False,False,False,False,False,none
227,0001036968_2006_4,28,this control deficiency resulted in audit adjustments to our fiscal 2006 interim and annual consolidated financial statements.,this control deficiency resulted in audit adjustments to our fiscal <year> interim and annual consolidated financial statements,2006-12-31,1036968,72. properly recorded.,<num> properly recorded,127,1,1,ISSUE,0,other,1,0,0,False,False,,0,0,trainval,legacy_issue_only,1,ISSUE,0,1,other,ISSUE,0,0,,codex_pass2,,guideline_v1_round1_pass2,4,ISSUE,0,0,,False,False,False,False,False,none
1455,0000944765_2006_4,25,"specifically, we did not have formal policies and procedures to provide for sufficient analysis to identify all net assets acquired in a prior period business combination and allowable adjustments to goodwill, which resulted in an adjustment to correct an error that we have recorded in the fourth quarter of 2006 in our consolidated financial statements.",specifically we did not have formal policies and procedures to provide for sufficient analysis to identify all net assets acquired in a prior period business combination and allowable adjustments to goodwill which resulted in an adjustment to correct an error that we have recorded in the fourth quarter of <year> in our consolidated financial statements,2006-12-31,944765,we did not maintain effective policies and procedures over the accounting for business combinations.,we did not maintain effective policies and procedures over the accounting for business combinations,354,0,0,OTHER,1,effect,1,1,0,False,False,15.0,1,0,trainval,legacy_issue_and_remediation,1,OTHER,1,0,effect,ISSUE,0,0,,codex_pass2,,guideline_v1_round1_pass2,5,ISSUE,0,0,,False,False,False,False,False,none
1226,0001087934_2014_4,12,"this material weakness resulted in a restatement to sales tax liability that on a cumulative basis was $3.4 million as of september 30, 2014.",this material weakness resulted in a restatement to sales tax liability that on a cumulative basis was $ <num> <num> million as of <month> <num> <year>,2014-12-31,1087934,management has concluded this control deficiency is a material weakness.,management has concluded this control deficiency is a material weakness,151,0,1,ISSUE,0,other,1,0,0,False,False,13.0,0,0,trainval,legacy_issue_only,1,ISSUE,0,1,other,ISSUE,0,0,,codex_pass2,,guideline_v1_round1_pass2,6,ISSUE,0,0,,False,False,False,False,False,none
924,0001494259_2022_4,15,"specifically, we did not have sufficient knowledgeable personnel or processes in place which resulted in.",specifically we did not have sufficient knowledgeable personnel or processes in place which resulted in,2022-12-31,1494259,"the deficiencies were primarily the result of . insufficient evidence of management review and performance of control procedures, (ii) the inability to rely on information produced from it systems and an absence of compensating procedures, (iii) controls not designed to require proper authorization of certain transactions, and (iv) controls not designed or operating effectively related to logical access and change management of it systems.",the deficiencies were primarily the result of insufficient evidence of management review and performance of control procedures ii the inability to rely on information produced from it systems and an absence of compensating procedures iii controls not designed to require proper authorization of certain transactions and iv controls not designed or operating effectively related to logical access and change management of it systems,103,1,0,OTHER,1,effect,1,1,0,False,False,8.0,1,0,trainval,legacy_issue_and_remediation,1,OTHER,1,0,effect,OTHER,0,1,other,codex_pass2,incomplete problem statement,guideline_v1_round1_pass2,7,ISSUE,0,1,,True,False,False,True,True,ISSUE->OTHER
1618,0001376339_2019_4,88,"a control certification survey is distributed to obtain information regarding any internal control related issues or concerns that control owners may have, and additional certification surveys are distributed to disclosure committee members and key members of the sales department which address (to the best of their knowledge) whether the period's financial statements are free from either material misstatements, material misclassifications, or material omissions.",a control certification survey is distributed to obtain information regarding any internal control related issues or concerns that control owners <month> have and additional certification surveys are distributed to disclosure committee members and key members of the sales department which address to the best of their knowledge whether the period s financial statements are free from either material misstatements material misclassifications or material omissions,2019-12-31,1376339,management implemented quarterly required communications amongst relevant members of senior management in the form of certification surveys.,management implemented quarterly required communications amongst relevant members of senior management in the form of certification surveys,464,0,0,OTHER,1,background,1,1,0,False,False,12.0,1,0,test,legacy_issue_and_remediation,1,OTHER,1,0,background,REMEDIATION,0,0,,codex_pass2,,guideline_v1_round1_pass2,8,REMEDIATION,0,0,,False,False,False,False,False,none
316,0000039273_2006_4,8,this deficiency resulted in material errors in the reserve for cargo claims and related expenses in the 2006 annual consolidated financial statements.,this deficiency resulted in material errors in the reserve for cargo claims and related expenses in the <year> annual consolidated financial statements,2006-12-31,39273,"specifically, the company lacked . adequate policies and procedures to ensure the timely reporting of asserted cargo claims by personnel responsible for the daily management of those claims, and . adequate management supervision and review of the reserve for cargo claims.",specifically the company lacked adequate policies and procedures to ensure the timely reporting of asserted cargo claims by personnel responsible for the daily management of those claims and adequate management supervision and review of the reserve for cargo claims,151,0,1,ISSUE,0,other,1,0,0,False,False,,0,0,test,legacy_issue_only,1,ISSUE,0,1,other,ISSUE,0,0,,codex_pass2,,guideline_v1_round1_pass2,9,ISSUE,0,0,,False,False,False,False,False,none
437,0001014739_2005_4,50,we have revised the system and manual controls in our community pharmacies to provide greater assurance that cancelled orders and other non-standard prescription transactions do not result in overstatement of revenue.,we have revised the system and manual controls in our community pharmacies to provide greater assurance that cancelled orders and other non standard prescription transactions do not result in overstatement of revenue,2005-12-31,1014739,revenue recognition .,revenue recognition,216,0,0,OTHER,1,effect,1,1,0,False,False,28.0,1,0,trainval,legacy_issue_and_remediation,1,OTHER,1,0,effect,REMEDIATION,0,0,,codex_pass2,,guideline_v1_round1_pass2,10,REMEDIATION,0,0,,False,False,False,False,False,none
