row_id,doc_id,sent_id,text_raw,text_norm,quarter_end,cik,prev_text_raw,prev_text_norm,text_len_chars,short_sentence,heuristic_needs_context,proxy_label_main,proxy_flag_mixed_ab,proxy_c_subtype,legacy_hint_impact,legacy_hint_remediation,legacy_hint_attestation,legacy_hint_find_opinion,legacy_hint_find_remedia_header,legacy_hint_remedia_start_seq,legacy_ab,legacy_negative,split,pred_label,prob_ISSUE,prob_REMEDIATION,prob_OTHER,prob_max,margin_top2,review_flag,auto_accept,model_version,label_main,flag_mixed_ab,flag_needs_context,c_subtype,annotator,label_version,note
538,0001140098_2013_4,28,"for several years we had outsourced many accounting duties and the previous ceo acted as the company cfo as well; . · in november 2013, we hired a new corporate controller, who has extensive experience leading the accounting and finance functions at publicly traded companies and adds accounting expertise to our staff; and . · in december 2013, we engaged external advisors knowledgeable in many technical accounting matters, including derivatives to assist us in the interpretation of key technical accounting standards and associated interpretations and the determination of how to adequately apply such standards; .",for several years we had outsourced many accounting duties and the previous ceo acted as the company cfo as well in <month> <year> we hired a new corporate controller who has extensive experience leading the accounting and finance functions at publicly traded companies and adds accounting expertise to our staff and in <month> <year> we engaged external advisors knowledgeable in many technical accounting matters including derivatives to assist us in the interpretation of key technical accounting standards and associated interpretations and the determination of how to adequately apply such standards,2013-12-31,1140098,"management, with the input, oversight, and support of the audit committee has identified and taken the following steps, which management believes have corrected the material weakness described above subsequent to december 31, 2013. · in june 2013, we hired a new chief financial officer, who has extensive experience leading the accounting and finance functions at publicly traded companies and adds accounting expertise to our staff.",management with the input oversight and support of the audit committee has identified and taken the following steps which management believes have corrected the material weakness described above subsequent to <month> <num> <year> in <month> <year> we hired a new chief financial officer who has extensive experience leading the accounting and finance functions at publicly traded companies and adds accounting expertise to our staff,604,0,0,REMEDIATION,0,other,0,1,0,False,False,19.0,0,0,trainval,REMEDIATION,0.062020083887969,0.8516771120213601,0.0863028040906709,0.8516771120213601,0.7653743079306892,0,1,e5_logreg,OTHER,1,0,other,codex_remediation_worker_batch_016,guideline_v1_1_remediation_reaudit_round3,weakness background mixed with hiring and advisor actions
539,0001140098_2013_4,29,"additionally, we plan to enhance our training programs to ensure that our accounting personnel have the competence and the on-going accounting and financial reporting training necessary for their assigned duties, including specific technical training courses related to derivative accounting and other complex accounting issues.",additionally we plan to enhance our training programs to ensure that our accounting personnel have the competence and the on going accounting and financial reporting training necessary for their assigned duties including specific technical training courses related to derivative accounting and other complex accounting issues,2013-12-31,1140098,"for several years we had outsourced many accounting duties and the previous ceo acted as the company cfo as well; . · in november 2013, we hired a new corporate controller, who has extensive experience leading the accounting and finance functions at publicly traded companies and adds accounting expertise to our staff; and . · in december 2013, we engaged external advisors knowledgeable in many technical accounting matters, including derivatives to assist us in the interpretation of key technical accounting standards and associated interpretations and the determination of how to adequately apply such standards; .",for several years we had outsourced many accounting duties and the previous ceo acted as the company cfo as well in <month> <year> we hired a new corporate controller who has extensive experience leading the accounting and finance functions at publicly traded companies and adds accounting expertise to our staff and in <month> <year> we engaged external advisors knowledgeable in many technical accounting matters including derivatives to assist us in the interpretation of key technical accounting standards and associated interpretations and the determination of how to adequately apply such standards,325,0,0,REMEDIATION,0,other,0,1,0,False,False,19.0,0,0,trainval,REMEDIATION,0.0260354867510718,0.9596569084831008,0.0143076047658271,0.9596569084831008,0.9336214217320292,0,1,e5_logreg,REMEDIATION,0,0,other,codex_remediation_worker_batch_016,guideline_v1_1_remediation_reaudit_round3,
470,0001144519_2007_4,22,"in addition to correcting reported net sales and cost of goods sold for the errors resulting from these control weaknesses, management is taking the following actions to improve our control over financial reporting.",in addition to correcting reported net sales and cost of goods sold for the errors resulting from these control weaknesses management is taking the following actions to improve our control over financial reporting,2007-12-31,1144519,management's remediation plan.,management s remediation plan,213,0,0,REMEDIATION,0,other,0,1,0,False,False,19.0,0,0,trainval,REMEDIATION,0.3549627109004052,0.5930619809790363,0.0519753081205584,0.5930619809790363,0.238099270078631,1,0,e5_logreg,OTHER,0,1,other,codex_remediation_worker_batch_016,guideline_v1_1_remediation_reaudit_round3,lead-in to following remediation actions
471,0001144519_2007_4,23,"bunge limited's business units and corporate controller's group will conduct full reviews of current policies, processes and procedures relating to the elimination of intercompany transactions and the implementation of system changes as they relate to financial reporting and bunge limited will redesign processes and controls for each of its business units and its corporate controller's group as necessary, based on the results of those reviews.",bunge limited s business units and corporate controller s group will conduct full reviews of current policies processes and procedures relating to the elimination of intercompany transactions and the implementation of system changes as they relate to financial reporting and bunge limited will redesign processes and controls for each of its business units and its corporate controller s group as necessary based on the results of those reviews,2007-12-31,1144519,"in addition to correcting reported net sales and cost of goods sold for the errors resulting from these control weaknesses, management is taking the following actions to improve our control over financial reporting.",in addition to correcting reported net sales and cost of goods sold for the errors resulting from these control weaknesses management is taking the following actions to improve our control over financial reporting,444,0,0,REMEDIATION,0,other,0,1,0,False,False,19.0,0,0,trainval,REMEDIATION,0.0121893649336615,0.8750572749695186,0.1127533600968199,0.8750572749695186,0.7623039148726987,0,1,e5_logreg,REMEDIATION,0,0,other,codex_remediation_worker_batch_016,guideline_v1_1_remediation_reaudit_round3,
472,0001144519_2007_4,24,monthly reconciliations of general ledger balances for each of bunge's subsidiaries with bunge's consolidated reporting system will be performed and reviewed with follow-up by bunge's corporate controller's group to assure appropriate elimination of intercompany balances and transactions.,monthly reconciliations of general ledger balances for each of bunge s subsidiaries with bunge s consolidated reporting system will be performed and reviewed with follow up by bunge s corporate controller s group to assure appropriate elimination of intercompany balances and transactions,2007-12-31,1144519,"bunge limited's business units and corporate controller's group will conduct full reviews of current policies, processes and procedures relating to the elimination of intercompany transactions and the implementation of system changes as they relate to financial reporting and bunge limited will redesign processes and controls for each of its business units and its corporate controller's group as necessary, based on the results of those reviews.",bunge limited s business units and corporate controller s group will conduct full reviews of current policies processes and procedures relating to the elimination of intercompany transactions and the implementation of system changes as they relate to financial reporting and bunge limited will redesign processes and controls for each of its business units and its corporate controller s group as necessary based on the results of those reviews,288,0,0,REMEDIATION,0,other,0,1,0,False,False,19.0,0,0,trainval,REMEDIATION,0.0274499291827855,0.6959950384488697,0.2765550323683448,0.6959950384488697,0.4194400060805248,1,0,e5_logreg,REMEDIATION,0,0,other,codex_remediation_worker_batch_016,guideline_v1_1_remediation_reaudit_round3,
473,0001144519_2007_4,25,bunge limited's business units have conducted reviews to identify transactions with characteristics of a financial nature.,bunge limited s business units have conducted reviews to identify transactions with characteristics of a financial nature,2007-12-31,1144519,monthly reconciliations of general ledger balances for each of bunge's subsidiaries with bunge's consolidated reporting system will be performed and reviewed with follow-up by bunge's corporate controller's group to assure appropriate elimination of intercompany balances and transactions.,monthly reconciliations of general ledger balances for each of bunge s subsidiaries with bunge s consolidated reporting system will be performed and reviewed with follow up by bunge s corporate controller s group to assure appropriate elimination of intercompany balances and transactions,121,1,0,REMEDIATION,0,other,0,1,0,False,False,19.0,0,0,trainval,REMEDIATION,0.056751884189138,0.724261156460392,0.2189869593504698,0.724261156460392,0.5052741971099222,1,0,e5_logreg,REMEDIATION,0,0,other,codex_remediation_worker_batch_016,guideline_v1_1_remediation_reaudit_round3,
474,0001144519_2007_4,26,"all such transaction types identified for 2007, 2006 and 2005 have been reviewed with bunge's corporate controller's group to assure appropriate accounting treatment and financial statement presentation.",all such transaction types identified for <year> <year> and <year> have been reviewed with bunge s corporate controller s group to assure appropriate accounting treatment and financial statement presentation,2007-12-31,1144519,bunge limited's business units have conducted reviews to identify transactions with characteristics of a financial nature.,bunge limited s business units have conducted reviews to identify transactions with characteristics of a financial nature,207,0,0,REMEDIATION,0,other,0,1,0,False,False,19.0,0,0,trainval,REMEDIATION,0.0206978407137377,0.6675523782984595,0.3117497809878027,0.6675523782984595,0.3558025973106567,1,0,e5_logreg,REMEDIATION,0,0,other,codex_remediation_worker_batch_016,guideline_v1_1_remediation_reaudit_round3,
475,0001144519_2007_4,27,"bunge limited's business units and corporate controller's group will conduct full reviews of current policies, processes and procedures relating to analysis and assessment of the presentation and recording of existing sales transaction types and will redesign processes and controls as necessary based on the results of those reviews.",bunge limited s business units and corporate controller s group will conduct full reviews of current policies processes and procedures relating to analysis and assessment of the presentation and recording of existing sales transaction types and will redesign processes and controls as necessary based on the results of those reviews,2007-12-31,1144519,"all such transaction types identified for 2007, 2006 and 2005 have been reviewed with bunge's corporate controller's group to assure appropriate accounting treatment and financial statement presentation.",all such transaction types identified for <year> <year> and <year> have been reviewed with bunge s corporate controller s group to assure appropriate accounting treatment and financial statement presentation,332,0,0,REMEDIATION,0,other,0,1,0,False,False,19.0,0,0,trainval,REMEDIATION,0.0099981751846817,0.9363196643593678,0.0536821604559504,0.9363196643593678,0.8826375039034173,0,1,e5_logreg,REMEDIATION,0,0,other,codex_remediation_worker_batch_016,guideline_v1_1_remediation_reaudit_round3,
871,0001159281_2014_4,10,"remediation of material weaknesses in internal control over financial reporting we are continuing to develop our remediation plan for the material weaknesses described above, which currently includes. · recruitment of additional experienced personnel for certain accounting positions; · restructuring of our accounting department; and · providing enhanced training for employees regarding our accounting policies and procedures.",remediation of material weaknesses in internal control over financial reporting we are continuing to develop our remediation plan for the material weaknesses described above which currently includes recruitment of additional experienced personnel for certain accounting positions restructuring of our accounting department and providing enhanced training for employees regarding our accounting policies and procedures,2014-12-31,1159281,their report appears elsewhere herein.,their report appears elsewhere herein,417,0,0,REMEDIATION,0,other,0,1,0,False,True,10.0,0,0,trainval,REMEDIATION,0.0440573825456403,0.758156222124192,0.1977863953301676,0.758156222124192,0.5603698267940244,1,0,e5_logreg,REMEDIATION,0,0,other,codex_remediation_worker_batch_016,guideline_v1_1_remediation_reaudit_round3,
873,0001159281_2014_4,12,"to date, we have. · added qualified and experienced personnel by filling a newly created senior level accounting position and hiring additional personnel who are qualified as certified public accountants; · engaged consultants to supplement our existing accounting staff and to provide additional layers of review by qualified persons; and · begun restructuring our accounting and tax functions.",to date we have added qualified and experienced personnel by filling a newly created senior level accounting position and hiring additional personnel who are qualified as certified public accountants engaged consultants to supplement our existing accounting staff and to provide additional layers of review by qualified persons and begun restructuring our accounting and tax functions,2014-12-31,1159281,we have begun to implement this remediation plan while we are continuing to develop it.,we have begun to implement this remediation plan while we are continuing to develop it,384,0,0,REMEDIATION,0,other,0,1,0,False,False,10.0,0,0,trainval,REMEDIATION,0.0098448762665568,0.9363035707302324,0.0538515530032106,0.9363035707302324,0.8824520177270218,0,1,e5_logreg,REMEDIATION,0,0,other,codex_remediation_worker_batch_016,guideline_v1_1_remediation_reaudit_round3,
