row_id,label_main,flag_mixed_ab,flag_needs_context,c_subtype,annotator,label_version,note
1,OTHER,0,0,background,codex_other_worker_batch_003,guideline_v1_1_other_reaudit_round3,Filing status background
3,OTHER,0,0,status,codex_other_worker_batch_003,guideline_v1_1_other_reaudit_round3,Status of amended filing and remediation belief
6,OTHER,0,0,effect,codex_other_worker_batch_019,guideline_v1_1_other_reaudit_round3,No misstatement and no prior result change.
7,REMEDIATION,0,0,other,codex_other_worker_batch_019,guideline_v1_1_other_reaudit_round3,Concrete measures are being implemented.
9,OTHER,0,0,effect,codex_other_worker_batch_019,guideline_v1_1_other_reaudit_round3,Describes the expected effect of prior actions.
10,OTHER,0,0,status,codex_other_worker_batch_019,guideline_v1_1_other_reaudit_round3,Remediation is contingent on future testing.
11,OTHER,0,0,status,codex_other_worker_batch_019,guideline_v1_1_other_reaudit_round3,Forward completion estimate only.
12,OTHER,0,0,background,codex_other_worker_batch_019,guideline_v1_1_other_reaudit_round3,Generic no-change disclosure.
13,OTHER,0,0,background,codex_other_worker_batch_012,guideline_v1_1_other_reaudit_round3,Generic control-definition language; not an issue.
19,OTHER,0,0,attestation,codex_other_worker_batch_012,guideline_v1_1_other_reaudit_round3,Auditor opinion mention in report; attestation context.
20,OTHER,0,1,other,codex_other_worker_batch_012,guideline_v1_1_other_reaudit_round3,Remediation-plan intro without concrete action.
25,OTHER,0,0,status,codex_other_worker_batch_012,guideline_v1_1_other_reaudit_round3,Status-only timing statement; no concrete remediation action.
29,OTHER,0,1,other,codex_other_worker_batch_012,guideline_v1_1_other_reaudit_round3,Section-header fragment; needs prior context.
38,OTHER,0,0,background,codex_other_worker_batch_012,guideline_v1_1_other_reaudit_round3,Accounting-policy/background statement.
44,OTHER,0,0,background,codex_other_worker_batch_010,guideline_v1_1_other_reaudit_round3,ICFR evaluation and COSO framework background
45,OTHER,0,0,status,codex_other_worker_batch_010,guideline_v1_1_other_reaudit_round3,Evaluation mentions prior weaknesses and testing but no concrete action
