row_id,label_main,flag_mixed_ab,flag_needs_context,c_subtype,annotator,label_version,note
1,OTHER,0,0,background,codex_other_worker_batch_003,guideline_v1_1_other_reaudit_round3,Filing status background
2,ISSUE,0,0,background,worker_batch_004,guideline_v1_1_issue_reaudit_round3,
3,OTHER,0,0,status,codex_other_worker_batch_003,guideline_v1_1_other_reaudit_round3,Status of amended filing and remediation belief
4,ISSUE,0,0,background,worker_batch_029,guideline_v1_1_issue_reaudit_round3,
5,ISSUE,0,0,background,worker_batch_029,guideline_v1_1_issue_reaudit_round3,
6,OTHER,0,0,effect,codex_other_worker_batch_019,guideline_v1_1_other_reaudit_round3,No misstatement and no prior result change.
7,REMEDIATION,0,0,other,codex_other_worker_batch_019,guideline_v1_1_other_reaudit_round3,Concrete measures are being implemented.
8,REMEDIATION,0,0,other,codex_remediation_worker_batch_020,guideline_v1_1_remediation_reaudit_round3,
9,OTHER,0,0,effect,codex_other_worker_batch_019,guideline_v1_1_other_reaudit_round3,Describes the expected effect of prior actions.
10,OTHER,0,0,status,codex_other_worker_batch_019,guideline_v1_1_other_reaudit_round3,Remediation is contingent on future testing.
11,OTHER,0,0,status,codex_other_worker_batch_019,guideline_v1_1_other_reaudit_round3,Forward completion estimate only.
12,OTHER,0,0,background,codex_other_worker_batch_019,guideline_v1_1_other_reaudit_round3,Generic no-change disclosure.
13,OTHER,0,0,background,codex_other_worker_batch_012,guideline_v1_1_other_reaudit_round3,Generic control-definition language; not an issue.
14,ISSUE,0,0,other,worker_batch_016,guideline_v1_1_issue_reaudit_round3,
15,ISSUE,0,0,other,worker_batch_016,guideline_v1_1_issue_reaudit_round3,
16,OTHER,0,0,background,codex_remediation_worker_batch_011,guideline_v1_1_remediation_reaudit_round3,Background on outsourced IT service providers
17,OTHER,0,0,background,worker_batch_016,guideline_v1_1_issue_reaudit_round3,Background about SOC-report availability/timing; no control failure stated.
18,ISSUE,0,0,other,worker_batch_016,guideline_v1_1_issue_reaudit_round3,
19,OTHER,0,0,attestation,codex_other_worker_batch_012,guideline_v1_1_other_reaudit_round3,Auditor opinion mention in report; attestation context.
20,OTHER,0,1,other,codex_other_worker_batch_012,guideline_v1_1_other_reaudit_round3,Remediation-plan intro without concrete action.
21,REMEDIATION,0,0,other,codex_remediation_worker_batch_011,guideline_v1_1_remediation_reaudit_round3,
22,REMEDIATION,0,0,other,codex_remediation_worker_batch_011,guideline_v1_1_remediation_reaudit_round3,
23,REMEDIATION,0,0,other,codex_remediation_worker_batch_011,guideline_v1_1_remediation_reaudit_round3,
24,OTHER,0,0,effect,codex_remediation_worker_batch_011,guideline_v1_1_remediation_reaudit_round3,Effect-only belief about remediation success
25,OTHER,0,0,status,codex_other_worker_batch_012,guideline_v1_1_other_reaudit_round3,Status-only timing statement; no concrete remediation action.
26,ISSUE,0,0,other,worker_batch_018,guideline_v1_1_issue_reaudit_round3,
27,OTHER,0,0,background,worker_batch_018,guideline_v1_1_issue_reaudit_round3,Generic definition of material weakness; not a company-specific issue statement.
28,ISSUE,0,0,other,worker_batch_018,guideline_v1_1_issue_reaudit_round3,
29,OTHER,0,1,other,codex_other_worker_batch_012,guideline_v1_1_other_reaudit_round3,Section-header fragment; needs prior context.
30,ISSUE,0,0,other,worker_batch_018,guideline_v1_1_issue_reaudit_round3,
31,OTHER,0,0,effect,worker_batch_018,guideline_v1_1_issue_reaudit_round3,Restatement outcome only; no new issue or remediation action.
32,ISSUE,0,0,effect,worker_batch_018,guideline_v1_1_issue_reaudit_round3,
33,OTHER,0,1,background,worker_batch_018,guideline_v1_1_issue_reaudit_round3,Section header/topic line; context needed to understand the SFAS 86 discussion.
34,ISSUE,0,0,other,worker_batch_018,guideline_v1_1_issue_reaudit_round3,
35,ISSUE,0,0,other,worker_batch_018,guideline_v1_1_issue_reaudit_round3,
36,ISSUE,0,0,other,worker_batch_018,guideline_v1_1_issue_reaudit_round3,
37,ISSUE,0,0,effect,worker_batch_018,guideline_v1_1_issue_reaudit_round3,
38,OTHER,0,0,background,codex_other_worker_batch_012,guideline_v1_1_other_reaudit_round3,Accounting-policy/background statement.
39,OTHER,0,0,effect,worker_batch_018,guideline_v1_1_issue_reaudit_round3,Neutral conclusion from revised methodology; no weakness or action stated.
40,OTHER,0,0,effect,worker_batch_018,guideline_v1_1_issue_reaudit_round3,Restatement outcome only; no new issue or remediation action.
41,ISSUE,0,0,effect,worker_batch_018,guideline_v1_1_issue_reaudit_round3,
42,ISSUE,0,0,effect,worker_batch_018,guideline_v1_1_issue_reaudit_round3,
43,OTHER,0,0,background,codex_remediation_worker_batch_008,guideline_v1_1_remediation_reaudit_round3,Generic internal-control framework language.
44,OTHER,0,0,background,codex_other_worker_batch_010,guideline_v1_1_other_reaudit_round3,ICFR evaluation and COSO framework background
45,OTHER,0,0,status,codex_other_worker_batch_010,guideline_v1_1_other_reaudit_round3,Evaluation mentions prior weaknesses and testing but no concrete action
46,OTHER,0,0,status,codex_other_worker_batch_010,guideline_v1_1_other_reaudit_round3,Outcome only: management says the weakness was fully remedied
47,OTHER,0,0,status,codex_other_worker_batch_010,guideline_v1_1_other_reaudit_round3,Effect/status only about prior remedial actions
48,OTHER,0,1,other,codex_other_worker_batch_010,guideline_v1_1_other_reaudit_round3,Reference to actions described in prior filings
49,OTHER,0,1,effect,worker_batch_013,guideline_v1_1_issue_reaudit_round3,Incomplete effect fragment about delays in preparing financial statements; not a direct issue.
50,OTHER,0,1,status,worker_batch_013,guideline_v1_1_issue_reaudit_round3,Status-only statement about timing of prior changes; no explicit weakness or remediation.
51,OTHER,0,1,status,worker_batch_013,guideline_v1_1_issue_reaudit_round3,Incomplete lead-in to the next remediation sentence; needs surrounding context.
52,REMEDIATION,0,0,other,codex_remediation_worker_batch_008,guideline_v1_1_remediation_reaudit_round3,
53,REMEDIATION,0,0,other,codex_remediation_worker_batch_008,guideline_v1_1_remediation_reaudit_round3,
54,REMEDIATION,0,0,other,codex_remediation_worker_batch_008,guideline_v1_1_remediation_reaudit_round3,
55,REMEDIATION,0,0,other,codex_remediation_worker_batch_008,guideline_v1_1_remediation_reaudit_round3,
56,REMEDIATION,0,0,other,codex_remediation_worker_batch_008,guideline_v1_1_remediation_reaudit_round3,
57,OTHER,0,0,status,codex_other_worker_batch_010,guideline_v1_1_other_reaudit_round3,Status only on prior remediation actions
58,OTHER,0,0,background,worker_batch_013,guideline_v1_1_issue_reaudit_round3,Generic definition of significant deficiency; not company-specific.
59,OTHER,0,1,status,worker_batch_013,guideline_v1_1_issue_reaudit_round3,Status-only intro that the listed weaknesses were still unresolved.
60,ISSUE,0,0,other,worker_batch_013,guideline_v1_1_issue_reaudit_round3,
61,ISSUE,0,0,other,worker_batch_013,guideline_v1_1_issue_reaudit_round3,
62,REMEDIATION,0,0,other,codex_other_worker_batch_010,guideline_v1_1_other_reaudit_round3,Concrete planned remediation actions are stated
63,ISSUE,0,0,other,worker_batch_013,guideline_v1_1_issue_reaudit_round3,
64,ISSUE,0,0,other,worker_batch_013,guideline_v1_1_issue_reaudit_round3,
65,OTHER,0,0,effect,worker_batch_013,guideline_v1_1_issue_reaudit_round3,Effect/background statement describing how the provider's processes affected accounting and revenue timing.
66,OTHER,0,0,effect,worker_batch_013,guideline_v1_1_issue_reaudit_round3,Effect-only conclusion that the weakness did not result in a material misstatement.
67,OTHER,0,0,status,codex_other_worker_batch_010,guideline_v1_1_other_reaudit_round3,Status only: remediation is believed complete but testing is unfinished
68,ISSUE,0,0,other,worker_batch_013,guideline_v1_1_issue_reaudit_round3,
69,OTHER,0,0,background,codex_other_worker_batch_006,guideline_v1_1_other_reaudit_round3,neutral ICFR responsibility disclosure
70,OTHER,0,0,background,codex_other_worker_batch_006,guideline_v1_1_other_reaudit_round3,management evaluation of ICFR using COSO; report background
71,OTHER,0,0,background,worker_batch_005,guideline_v1_1_issue_reaudit_round3,"Generic definition of material weakness, not a company-specific issue."
72,OTHER,0,1,other,codex_remediation_worker_batch_020,guideline_v1_1_remediation_reaudit_round3,fragment only and not meaningful standalone
73,ISSUE,0,0,other,worker_batch_028,guideline_v1_1_issue_reaudit_round3,
74,ISSUE,0,0,other,worker_batch_028,guideline_v1_1_issue_reaudit_round3,
75,REMEDIATION,0,0,other,codex_remediation_worker_batch_020,guideline_v1_1_remediation_reaudit_round3,
76,OTHER,0,1,other,codex_remediation_worker_batch_020,guideline_v1_1_remediation_reaudit_round3,lead in and truncated action that continues in the next row
77,OTHER,0,1,other,codex_remediation_worker_batch_020,guideline_v1_1_remediation_reaudit_round3,continuation fragment combining prior expertise phrase with a hiring item
78,OTHER,0,1,other,codex_remediation_worker_batch_020,guideline_v1_1_remediation_reaudit_round3,truncated training fragment without standalone meaning
79,OTHER,0,1,other,codex_remediation_worker_batch_020,guideline_v1_1_remediation_reaudit_round3,truncated sentence that continues in the next row
80,OTHER,0,1,other,codex_remediation_worker_batch_020,guideline_v1_1_remediation_reaudit_round3,continuation fragment missing the leading subject and verb context
81,OTHER,0,0,attestation,codex_other_worker_batch_018,guideline_v1_1_other_reaudit_round3,Auditor report statement.
82,ISSUE,0,0,background,worker_batch_004,guideline_v1_1_issue_reaudit_round3,
