row_id,doc_id,sent_id,text_raw,text_norm,quarter_end,cik,prev_text_raw,prev_text_norm,text_len_chars,short_sentence,heuristic_needs_context,proxy_label_main,proxy_flag_mixed_ab,proxy_c_subtype,legacy_hint_impact,legacy_hint_remediation,legacy_hint_attestation,legacy_hint_find_opinion,legacy_hint_find_remedia_header,legacy_hint_remedia_start_seq,legacy_ab,legacy_negative,split,pred_label,prob_ISSUE,prob_REMEDIATION,prob_OTHER,prob_max,margin_top2,review_flag,auto_accept,model_version,selection_reason,priority_rank,label_main,flag_mixed_ab,flag_needs_context,c_subtype,annotator,label_version,note
47,0000910638_2007_4,8,"the remedial actions that we have taken to remedy such material weaknesses may be regarded as material changes in our internal control over financial reporting that have occurred since december 31, 2006.",the remedial actions that we have taken to remedy such material weaknesses <month> be regarded as material changes in our internal control over financial reporting that have occurred since <month> <num> <year>,2007-12-31,910638,"with the exception of our inventory as more fully discussed below, our management has concluded that the material weaknesses that we previously disclosed in our 2006 form 10-k and in other prior filings of our periodic reports under section 13. of the securities exchange act have been fully remedied as of december 31, 2007.",with the exception of our inventory as more fully discussed below our management has concluded that the material weaknesses that we previously disclosed in our <year> form <num> k and in other prior filings of our periodic reports under section <num> of the securities exchange act have been fully remedied as of <month> <num> <year>,209,0,0,REMEDIATION,0,other,0,1,0,False,True,6.0,0,0,test,OTHER,0.4027564091080124,0.0882652580642975,0.50897833282769,0.50897833282769,0.1062219237196775,1,0,e5_logreg,diversity,4,OTHER,0,0,status,codex_round2_pass1,guideline_v1_1_round2_stage_b_pass1,reports that remedial actions may be material changes
133,0001376339_2020_4,30,"with continued oversight from the audit committee, the company's management has designed and commenced implementing changes in processes and controls to remediate the material weaknesses described above and has improved the company's internal control over financial reporting as follows.",with continued oversight from the audit committee the company s management has designed and commenced implementing changes in processes and controls to remediate the material weaknesses described above and has improved the company s internal control over financial reporting as follows,2020-12-31,1376339,"the material weaknesses cannot be considered completely remediated until the applicable controls have operated for a sufficient period of time and management has concluded, through testing, that these controls are operating effectively.",the material weaknesses cannot be considered completely remediated until the applicable controls have operated for a sufficient period of time and management has concluded through testing that these controls are operating effectively,285,0,0,REMEDIATION,0,other,0,1,0,False,True,10.0,0,0,trainval,REMEDIATION,0.0264588759441718,0.908177210186054,0.0653639138697741,0.908177210186054,0.8428132963162799,0,1,e5_logreg,diversity,8,OTHER,0,1,other,codex_round2_pass1,guideline_v1_1_round2_stage_b_pass1,summary lead-in ending with as follows
150,0001376339_2020_4,53,"these internal control deficiencies identified included (but were not limited to) the following. improvements to the financial close and reporting process, accounting for satisfaction of performance obligations related to revenue recognition, calculation of inventory costing and related accuracy of inventory, accounting for income taxes, 81 accurate calculation of stock-based compensation expense, timely review of consignment inventory and the development of quality estimates related to accrued expenses.",these internal control deficiencies identified included but were not limited to the following improvements to the financial close and reporting process accounting for satisfaction of performance obligations related to revenue recognition calculation of inventory costing and related accuracy of inventory accounting for income taxes <num> accurate calculation of stock based compensation expense timely review of consignment inventory and the development of quality estimates related to accrued expenses,2020-12-31,1376339,this review included the identification of internal control deficiencies and the development of remediation plans for each identified deficiency.,this review included the identification of internal control deficiencies and the development of remediation plans for each identified deficiency,503,0,1,REMEDIATION,0,other,0,1,0,False,False,10.0,0,0,trainval,REMEDIATION,0.4678261993301073,0.5120832229218722,0.0200905777480203,0.5120832229218722,0.0442570235917649,1,0,e5_logreg,margin,9,REMEDIATION,0,0,other,codex_round2_pass1,guideline_v1_1_round2_stage_b_pass1,OCR-merged improvement list; action list dominates
266,0000922487_2007_4,20,the company hired a chief credit officer.,the company hired a chief credit officer,2007-12-31,922487,this division is responsible for the management of impaired loans; .,this division is responsible for the management of impaired loans,40,1,0,REMEDIATION,0,other,0,1,0,False,False,4.0,0,0,trainval,OTHER,0.0400397122493271,0.4611481236385004,0.4988121641121724,0.4988121641121724,0.0376640404736719,1,0,e5_logreg,margin,12,REMEDIATION,0,0,other,codex_round2_pass1,guideline_v1_1_round2_stage_b_pass1,
281,0000850033_2014_4,10,the trust did not have internal controls to ensure that bp alaska paid royalties in compliance with the terms of the overriding royalty conveyance agreement.,the trust did not have internal controls to ensure that bp alaska paid royalties in compliance with the terms of the overriding royalty conveyance agreement,2014-12-31,850033,"based on the trustee’s evaluation under the coso criteria, the trustee identified a deficiency in its internal control over financial reporting that it considers to represent a “material weakness.”",based on the trustee s evaluation under the coso criteria the trustee identified a deficiency in its internal control over financial reporting that it considers to represent a material weakness,156,0,0,OTHER,0,background,0,0,0,False,False,18.0,0,1,test,ISSUE,0.5168399520519408,0.010505094461768,0.4726549534862913,0.5168399520519408,0.0441849985656494,1,0,e5_logreg,margin,13,ISSUE,0,0,other,codex_round2_pass1,guideline_v1_1_round2_stage_b_pass1,
301,0000080035_2007_4,10,"based upon that assessment, management concluded that certain control deficiencies, some of which constituted a material weakness, existed in our internal control over financial reporting as of december 31, 2007.",based upon that assessment management concluded that certain control deficiencies some of which constituted a material weakness existed in our internal control over financial reporting as of <month> <num> <year>,2007-12-31,80035,"belos’ net sales, net income and total assets represent 2%, 0% and 7% of consolidated net sales, net income and total assets respectively for the year ended and as of december 31, 2007.",belos net sales net income and total assets represent <num> <num> and <num> of consolidated net sales net income and total assets respectively for the year ended and as of <month> <num> <year>,211,0,0,OTHER,0,status,0,0,0,False,False,23.0,0,1,trainval,ISSUE,0.7131070192330039,0.0028523943663429,0.2840405864006532,0.7131070192330039,0.4290664328323507,0,1,e5_logreg,diversity,14,ISSUE,0,0,other,codex_round2_pass1,guideline_v1_1_round2_stage_b_pass1,
325,0001289945_2007_4,14,"in 2008, the company has moved from a combination of an employee and third party internal audit function to an outsourced third party internal audit function.",in <year> the company has moved from a combination of an employee and third party internal audit function to an outsourced third party internal audit function,2007-12-31,1289945,"changes in internal control over financial reporting there was no change in the company’s internal control over financial reporting that occurred during the company’s most recently completed fiscal quarter except as noted above under management’s remediation initiatives that has materially affected, or is reasonably likely to materially affect, the company’s internal control over financial reporting.",changes in internal control over financial reporting there was no change in the company s internal control over financial reporting that occurred during the company s most recently completed fiscal quarter except as noted above under management s remediation initiatives that has materially affected or is reasonably likely to materially affect the company s internal control over financial reporting,158,0,0,REMEDIATION,0,other,0,1,0,False,False,12.0,0,0,trainval,REMEDIATION,0.0605327538182622,0.4934014317464197,0.4460658144353179,0.4934014317464197,0.0473356173111018,1,0,e5_logreg,margin,16,REMEDIATION,0,0,other,codex_round2_pass1,guideline_v1_1_round2_stage_b_pass1,
357,0000914712_2018_4,18,"as necessary, outside legal and/or accounting advice will be obtained.",as necessary outside legal and or accounting advice will be obtained,2018-07-31,914712,"regular meetings with accounting staff and executive level officers involved and familiar with accounting issues related to complex, non-routine transactions will be held.",regular meetings with accounting staff and executive level officers involved and familiar with accounting issues related to complex non routine transactions will be held,68,1,0,REMEDIATION,0,other,0,1,0,False,False,15.0,0,0,trainval,REMEDIATION,0.0304194619232235,0.5076613630076633,0.4619191750691131,0.5076613630076633,0.0457421879385501,1,0,e5_logreg,margin,18,REMEDIATION,0,0,other,codex_round2_pass1,guideline_v1_1_round2_stage_b_pass1,
468,0001144519_2007_4,20,"other than the material weaknesses described above, there has been no change in our internal control over financial reporting during the fourth fiscal quarter ended december 31, 2007 that has materially affected, or is reasonably likely to materially affect, our internal control over financial reporting.",other than the material weaknesses described above there has been no change in our internal control over financial reporting during the fourth fiscal quarter ended <month> <num> <year> that has materially affected or is reasonably likely to materially affect our internal control over financial reporting,2007-12-31,1144519,"deloitte & touche llp, the independent registered public accounting firm that audited bunge limited's consolidated financial statements included in this annual report on form 10-k, have also issued an attestation report on internal control over financial reporting, which is included herein on page f-3.",deloitte touche llp the independent registered public accounting firm that audited bunge limited s consolidated financial statements included in this annual report on form <num> k have also issued an attestation report on internal control over financial reporting which is included herein on page f <num>,304,0,0,REMEDIATION,0,other,0,1,0,False,False,19.0,0,0,trainval,OTHER,0.4525230077918953,0.003927717327822,0.5435492748802826,0.5435492748802826,0.0910262670883872,1,0,e5_logreg,diversity,23,OTHER,0,0,status,codex_round2_pass1,guideline_v1_1_round2_stage_b_pass1,no change in ICFR status sentence
491,0000067279_2013_4,13,"until the material weakness is remediated, we will continue to perform additional procedures to reasonably assure the reliability of financial reporting and the preparation of our consolidated financial statements contained in future periodic filings.",until the material weakness is remediated we will continue to perform additional procedures to reasonably assure the reliability of financial reporting and the preparation of our consolidated financial statements contained in future periodic filings,2013-12-31,67279,"accordingly, with the oversight of senior management and our audit committee, we have developed, and are currently implementing, a remediation plan for the material weakness described above.",accordingly with the oversight of senior management and our audit committee we have developed and are currently implementing a remediation plan for the material weakness described above,249,0,0,REMEDIATION,0,other,0,1,0,False,True,10.0,0,0,trainval,OTHER,0.1963186208826997,0.3795769013664662,0.4241044777508341,0.4241044777508341,0.0445275763843678,1,0,e5_logreg,margin,24,REMEDIATION,0,0,other,codex_round2_pass1,guideline_v1_1_round2_stage_b_pass1,
