row_id,label_main,flag_mixed_ab,flag_needs_context,c_subtype,annotator,label_version,note
2,ISSUE,0,0,background,worker_batch_004,guideline_v1_1_issue_reaudit_round3,
4,ISSUE,0,0,background,worker_batch_029,guideline_v1_1_issue_reaudit_round3,
5,ISSUE,0,0,background,worker_batch_029,guideline_v1_1_issue_reaudit_round3,
14,ISSUE,0,0,other,worker_batch_016,guideline_v1_1_issue_reaudit_round3,
15,ISSUE,0,0,other,worker_batch_016,guideline_v1_1_issue_reaudit_round3,
17,OTHER,0,0,background,worker_batch_016,guideline_v1_1_issue_reaudit_round3,Background about SOC-report availability/timing; no control failure stated.
18,ISSUE,0,0,other,worker_batch_016,guideline_v1_1_issue_reaudit_round3,
26,ISSUE,0,0,other,worker_batch_018,guideline_v1_1_issue_reaudit_round3,
27,OTHER,0,0,background,worker_batch_018,guideline_v1_1_issue_reaudit_round3,Generic definition of material weakness; not a company-specific issue statement.
28,ISSUE,0,0,other,worker_batch_018,guideline_v1_1_issue_reaudit_round3,
30,ISSUE,0,0,other,worker_batch_018,guideline_v1_1_issue_reaudit_round3,
31,OTHER,0,0,effect,worker_batch_018,guideline_v1_1_issue_reaudit_round3,Restatement outcome only; no new issue or remediation action.
32,ISSUE,0,0,effect,worker_batch_018,guideline_v1_1_issue_reaudit_round3,
33,OTHER,0,1,background,worker_batch_018,guideline_v1_1_issue_reaudit_round3,Section header/topic line; context needed to understand the SFAS 86 discussion.
34,ISSUE,0,0,other,worker_batch_018,guideline_v1_1_issue_reaudit_round3,
35,ISSUE,0,0,other,worker_batch_018,guideline_v1_1_issue_reaudit_round3,
36,ISSUE,0,0,other,worker_batch_018,guideline_v1_1_issue_reaudit_round3,
37,ISSUE,0,0,effect,worker_batch_018,guideline_v1_1_issue_reaudit_round3,
39,OTHER,0,0,effect,worker_batch_018,guideline_v1_1_issue_reaudit_round3,Neutral conclusion from revised methodology; no weakness or action stated.
40,OTHER,0,0,effect,worker_batch_018,guideline_v1_1_issue_reaudit_round3,Restatement outcome only; no new issue or remediation action.
41,ISSUE,0,0,effect,worker_batch_018,guideline_v1_1_issue_reaudit_round3,
42,ISSUE,0,0,effect,worker_batch_018,guideline_v1_1_issue_reaudit_round3,
49,OTHER,0,1,effect,worker_batch_013,guideline_v1_1_issue_reaudit_round3,Incomplete effect fragment about delays in preparing financial statements; not a direct issue.
50,OTHER,0,1,status,worker_batch_013,guideline_v1_1_issue_reaudit_round3,Status-only statement about timing of prior changes; no explicit weakness or remediation.
51,OTHER,0,1,status,worker_batch_013,guideline_v1_1_issue_reaudit_round3,Incomplete lead-in to the next remediation sentence; needs surrounding context.
58,OTHER,0,0,background,worker_batch_013,guideline_v1_1_issue_reaudit_round3,Generic definition of significant deficiency; not company-specific.
59,OTHER,0,1,status,worker_batch_013,guideline_v1_1_issue_reaudit_round3,Status-only intro that the listed weaknesses were still unresolved.
60,ISSUE,0,0,other,worker_batch_013,guideline_v1_1_issue_reaudit_round3,
61,ISSUE,0,0,other,worker_batch_013,guideline_v1_1_issue_reaudit_round3,
63,ISSUE,0,0,other,worker_batch_013,guideline_v1_1_issue_reaudit_round3,
64,ISSUE,0,0,other,worker_batch_013,guideline_v1_1_issue_reaudit_round3,
65,OTHER,0,0,effect,worker_batch_013,guideline_v1_1_issue_reaudit_round3,Effect/background statement describing how the provider's processes affected accounting and revenue timing.
66,OTHER,0,0,effect,worker_batch_013,guideline_v1_1_issue_reaudit_round3,Effect-only conclusion that the weakness did not result in a material misstatement.
68,ISSUE,0,0,other,worker_batch_013,guideline_v1_1_issue_reaudit_round3,
71,OTHER,0,0,background,worker_batch_005,guideline_v1_1_issue_reaudit_round3,"Generic definition of material weakness, not a company-specific issue."
73,ISSUE,0,0,other,worker_batch_028,guideline_v1_1_issue_reaudit_round3,
74,ISSUE,0,0,other,worker_batch_028,guideline_v1_1_issue_reaudit_round3,
82,ISSUE,0,0,background,worker_batch_004,guideline_v1_1_issue_reaudit_round3,
83,ISSUE,0,0,background,worker_batch_004,guideline_v1_1_issue_reaudit_round3,
84,ISSUE,0,0,background,worker_batch_004,guideline_v1_1_issue_reaudit_round3,
90,OTHER,0,1,status,worker_batch_022,guideline_v1_1_issue_reaudit_round3,lead-in to unspecified deficiency; standalone context needed
91,ISSUE,0,0,background,worker_batch_022,guideline_v1_1_issue_reaudit_round3,failure of operating effectiveness states the deficiency itself
92,ISSUE,0,0,background,worker_batch_022,guideline_v1_1_issue_reaudit_round3,material misstatement risk if not remediated
93,OTHER,0,0,background,worker_batch_010,guideline_v1_1_issue_reaudit_round3,Generic PCAOB definition of material weakness not a company-specific issue statement
97,ISSUE,0,0,other,worker_batch_010,guideline_v1_1_issue_reaudit_round3,Describes prohibited distributor sales and insufficient controls
98,ISSUE,0,0,other,worker_batch_010,guideline_v1_1_issue_reaudit_round3,Lists inadequate policies and change controls
99,ISSUE,0,0,other,worker_batch_010,guideline_v1_1_issue_reaudit_round3,Describes inadequate training monitoring and oversight controls
100,ISSUE,0,0,status,worker_batch_010,guideline_v1_1_issue_reaudit_round3,Direct conclusion that a material weakness existed at period end
115,OTHER,0,0,background,worker_batch_010,guideline_v1_1_issue_reaudit_round3,Generic inherent-limitations boilerplate not a specific issue or action
116,OTHER,0,0,background,worker_batch_028,guideline_v1_1_issue_reaudit_round3,Historical reference to prior disclosure not a current issue statement.
120,ISSUE,0,0,other,worker_batch_028,guideline_v1_1_issue_reaudit_round3,
122,ISSUE,0,0,other,worker_batch_028,guideline_v1_1_issue_reaudit_round3,
123,ISSUE,0,0,other,worker_batch_028,guideline_v1_1_issue_reaudit_round3,
